下第春愁甚 行心道肯难 |Ref:劳君远见招
德盛昭临 迎拜<unk>方 |Ref:迎拜巽方
唯应寻阮籍 长醉一江音 |Ref:心事远相知
中庭有疏芦 下孤来鸣木 |Ref:淅淅闻风吹
或闻秋稼穑 重合夕下何 |Ref:大半沈澎汃
偏伤朋友尽 独日岁时天 |Ref:移兴子孙间
主人中夜起 天子上衣飞 |Ref:妓烛前罗列
于焉日淡泊 临子渐芳凄 |Ref:徒使芳尊盈
思飘明月浪花白 以似愁风愁梦吹 |Ref:声入碧云枫叶秋
泛览亲鱼鸟 才能叹露气 |Ref:夤缘涉芰荷
花底休倾绿玉卮 与东新拂红香香 |Ref:云中含笑向安期
河汉天孙合 林门日路穷 |Ref:潇湘帝子游
远宦有何兴 高来无所去 |Ref:贫兄无计留
重阳初启节 高子未临春 |Ref:无射正飞灰
一杯有馀味 此句无已惊 |Ref:再览增光鲜
九秋风露越窑开 千庭风阔鼎更轻 |Ref:夺得千峰翠色来
华发长折腰 平君为在眼 |Ref:将贻陶公诮
唯赍一宿粮 行浦万晨涛 |Ref:去岸三千里
心中又无事 月上意无情 |Ref:坐任白日移
谓我是方朔 识君为贞仙 |Ref:人间落岁星
关山已摇落 此水连离回 |Ref:天地共登临
地阔平沙岸 魂高上石东 |Ref:舟虚小洞房
日翅闲张锦 云流草易来 |Ref:风池去罥罗
交情别绪论多少 春别新丝空尽从 |Ref:好向仁人赠一枝
恒山北临岱 将潭富根柳 |Ref:秀崿东跨幽
相期只为话篇章 年事才娱未相期 |Ref:踏雪曾来宿此房
都护今年破武威 不忍到地如云生 |Ref:胡沙万里鸟空飞
如能跂脚南窗下 清云不云拂月生 |Ref:便是羲皇世上人
临终时有雪 还有处无风 |Ref:旅葬处无云
一上青山便化身 愿头黄日不生生 |Ref:不知何代怨离人
近放辽天鹤 谁曾千里来 |Ref:曾为南岳人
王师嶷嶷 帝泣江云 |Ref:熊罴是式
文皇昔潜耀 五门今隐舒 |Ref:随季自颠覆
启闭千门静 河临一电独 |Ref:逢迎两掖通
避雨拾黄叶 愁风动地花 |Ref:遮风下黑帘
日暮半炉麸炭火 花间滴户绣龙中 |Ref:夜深一醆纱笼烛
君名如四时 白手无相衰 |Ref:春尽夏复来
向空咄咄烦书字 已见谁冥咽在颜 |Ref:举世滔滔莫问津
志士以神窥 解存存周辞 |Ref:惭然真可吊
采尔幕中画 乘门任下行 |Ref:戡难光殊勋
本在沧江阔 西如天阙吟 |Ref:移来碧沼圆
旖旎香风绕指生 黄差烂锦笑称新 |Ref:千声妙尽神仙曲
乃知孤鹤情 何是众鸟宅 |Ref:月露为知音
劳师送我下山行 风日逢君故物如 |Ref:此别何人识此情
白云与流水 不有随相舟 |Ref:千载清人心
妖杀九原狐兔意 水君千玉两支衔 |Ref:岂知丘陇是英雄
砂鸿嗥天末 横剑何远驰 |Ref:横剑别妻子
心境寒草花 春山清入舟 |Ref:空门青山月
舟移明镜里 还入白江头 |Ref:路入画屏中
相思杜陵野 溪处满凄行 |Ref:沟水独潺湲
上舞双栖鸟 闻歌闻飞龙 |Ref:中秀合欢枝
西陵啧啧悲宿鸟 高殿沈沈闭青苔 |Ref:空殿沉沉闭青苔
峰峦若登陟 壁楼皆相明 |Ref:水木以游衍
目前相识无一人 个上水流云四千 |Ref:出入空伤我怀抱
近门潭水黑 邻我菊花明 |Ref:时见宿龙归
同官尽才俊 在立何相见 |Ref:偏善柳与刘
共见前途促 无思此国闲 |Ref:何知后会同
酝得秋泉似玉容 与君深发焚仙仙 |Ref:比于云液更应浓
他日亲朋应大笑 不怜新道老书游 |Ref:始知书剑是无端
几度衣裳汗 秋昏白蕊骨 |Ref:谁家枕簟清
此时知小阮 终是更清诗 |Ref:相忆绿尊前
剃发鬓无雪 又来人不还 |Ref:去年三十三
膺门若感深恩去 久叶闲前合钓词 |Ref:终杀微躯未足酬
马骄风疾玉鞭长 雕兵响将花九天 |Ref:过去唯留一阵香
悠悠到乡国 此此故长津 |Ref:远望海西天
银珰谒者引蜺旌 金人人人作草寒 |Ref:霞帔仙官到赤城
客来洗粉黛 独处对罗寒 |Ref:日暮拾流萤
仲秋萧条景 天鸟一一星 |Ref:拔剌飞鹅鶬
君但倾茶碗 筵谁有酒枝 |Ref:无妨骑马归
举起盆中日 高生子有年 |Ref:驱行草上风
风土难知教 鱼生易绿泰 |Ref:程途自致贫
石拥百泉合 林开八水空 |Ref:云破千峰开
明知秦是虎狼国 白路还骢剑战心 |Ref:更忍车轮独向西
银黄年少偏欺酒 玉白年多更醉身 |Ref:金紫风流不让人
光抱升中日 衣街何如秋 |Ref:霞明五色天
一身三十六宫夜 双作红涯九郭春 |Ref:露滴玉盘青桂秋
山中思归乐 水下忆寄游 |Ref:尽作思归鸣
故人俱不利 冠意亦相目 |Ref:谪宦两悠然
解带面西坐 黄琴心水月 |Ref:轻襟随风开
宁知燕赵娉婷子 不得开眉垂金枝 |Ref:翻嫁幽并游侠儿
如何非意中 感士无为通 |Ref:良觌忽在兹
残漏五更传海月 更时时曙风山光 |Ref:清笳三会揭天风
君子有褊性 我为保一真 |Ref:矧乃寻常徒
无生深旨诚难解 白落仙灰岂易开 |Ref:唯是师言得正真
到来能几日 风去不前林 |Ref:不觉鬓毛斑
夏台曾圮闭 深凤得无过 |Ref:汜水敢逡巡
既礼新松塔 兼吟一柏陂 |Ref:还寻旧石筵
强梁御史人觑步 一取平书节旧求 |Ref:安得夜开沽酒户
远近高低寺间出 随风静绕云相无 |Ref:东西南北桥相望
隐心不隐迹 从使徒心知 |Ref:却欲住人寰
不避驱羸道路长 穷泉<unk>远山门水 |Ref:青山同喜惜年光
主人过桥来 走鸣归林催 |Ref:双童扶一叟
送别到中流 高鸣不高路 |Ref:秋船倚渡头
雷霆空霹雳 人象渐无还 |Ref:云雨竟虚无
日暮华轩卷长箔 明斜红雨遮新花 |Ref:太清云上对蓬壶
遍阶怜可掬 开色尽朱看 |Ref:满树戏成摇
洪涛经变野 小树出惊林 |Ref:翠岛屡成桑
惆怅追怀万事空 白风唯此百无风 |Ref:雍门感慨徒为尔
暮角发高城 情人坐人起 |Ref:情人坐中起
路远思恐泥 春长若如一 |Ref:兴深终不渝
安边仍扈从 征后复沾心 |Ref:莫作后功名
旅望因高尽 新当望未间 |Ref:乡心遇物悲
更作儒林传 愿为独复存 |Ref:应须载姓名
处士不生巫峡梦 时是应事何人似 |Ref:虚劳神女下阳台
泉下双龙无再期 柳飞流色尽成向 |Ref:金蚕玉燕空销化
使者下车忧疾苦 此君吾此喜霜霜 |Ref:豪吏销声出公府
北吹微微动旅情 西梦谁不辞君城 |Ref:不堪分手在平明
今朝平津邸 槐尹出江宫 |Ref:兼得潇湘游
桂户雕梁连绮翼 山人彩马有秋山 |Ref:虹梁绣柱映丹楹
展禽任三黜 天毫奉百币 |Ref:灵均长独醒
从此日相思 歌人不一雨 |Ref:空令减衣带
众木排疏影 寒流叠细纹 |Ref:寒流叠细纹
未知肝胆向谁是 令人却忆平原君 |Ref:令人却忆平原君
阴冰莫向河源塞 一友犹见知入生 |Ref:阳气今从地底回
帝念纡苍璧 出报报五衣 |Ref:乾文焕紫霄
且无生生力 不足养老行 |Ref:自有死死颜
东沟潏潏劳回首 从年胡曲老休名 |Ref:欲寄一杯琼液酒
夫人之魂在何许 下人夜在生空丛 |Ref:香烟引到焚香处
凉风吹古木 秋吹入寒城 |Ref:野火入残营
道入难抱心 须荷不感意 |Ref:学生易堕踪
理烦善用简 天早自之同 |Ref:济猛能兼宽
初生欲缺虚惆怅 未事无风白白人 |Ref:未必圆时即有情
衡门寂寂逢迎少 闲卧闲条满所无 |Ref:不见仙郎向五旬
山松径与瀑泉通 似凤扉扉宛者名 |Ref:巾舄行吟想越中
始知边将真富贵 重谁年为无颜回 |Ref:可怜人马相辉光
愿因茱菊酒 留向良丹羹 |Ref:相守百千年
洪州向西顾 客客在东歌 |Ref:不忍暂忘君
叱之使人立 一发如铍交 |Ref:一发如铍交
雄哮乍咽绝 子多多飞然 |Ref:每发壮益倍
文园多病后 隐掩有衰时 |Ref:中散旧交疏
君王若燕去 自作出人来 |Ref:谁为拽车辕
月明何处去 云暗上悠春 |Ref:片片席帆斜
休闭玉笼留鸑鷟 素姿羞死弄歌边 |Ref:早开金埒纵麒麟
未能忘魏阙 何得愧贤关 |Ref:空此滞秦稽
他日如相觅 绿烟似到中 |Ref:栽桃近海涛
北邙是吾宅 无别无天水 |Ref:东岳为吾乡
长为邑令情终屈 使洒旌臣王百全 |Ref:纵处曹郎志未甘
惆怅流年速 裴条苦世邻 |Ref:看成白首翁
光阴暗度杯盂里 半花闲风夜月生 |Ref:职业未妨谈笑间
久在青田唳 村车白发秋 |Ref:天高忽暂闻
还在孤舟宿 春来百月春 |Ref:卧闻初夜钟
赪霞烧广泽 青露桃上高 |Ref:洪曜赫高丘
山东群盗散 空风有戎<unk> |Ref:阙下受降频
初见歌阳春 神光舞气新 |Ref:韶光变枯木
主人频问遣妖术 回扇绝修如敢言 |Ref:力尽计穷音响凄
可怜无定河边骨 犹恨无人道为身 |Ref:犹是春闺梦里人
鸟道春残雪 云烟向下冰 |Ref:萝龛昼定身
辙迹东巡海 浮车北旧天 |Ref:何时适我闾
今日与君重上处 春时生草一花时 |Ref:龙门不是旧龙门
青门一分手 难口杜陵人 |Ref:难见杜陵人
俯瞰涓涓流 还萋万沟树 |Ref:仰聆萧萧吟
芳意将阑风又吹 兰心忽负真相聊 |Ref:白云离叶雪辞枝
轩车人已散 园巷更难惊 |Ref:箫管凤初来
来往八千消半日 春将四雨及经风 |Ref:依前归路不曾迷
千冤万恨何人见 长落东孙空万里 |Ref:唯有空山鸟兽知
药香沾笔砚 花落助篇矶 |Ref:竹色染衣巾
枳嫩栖鸾叶 依枝暝石碧 |Ref:桐香待凤花
雅乐清音 明歌高意 |Ref:送神具奏
天文发丹篆 云气入玉山 |Ref:宝思掩玄珠
一窥轮奂毕 此里皆自陈 |Ref:惭恧栋梁材
从兹东向海 还解欲从春 |Ref:可泛济川航
百龄何荡漾 山作渐青白 |Ref:万化相推迁
数点烟香出庙门 人行云雨风遥回 |Ref:女娥飞去影中存
几载遗正音 朝知人已武 |Ref:今朝自君始
昨日延英对 陵池出路思 |Ref:今日崖州去
燕台下榻玉为人 子骑著钟春上日 |Ref:月桂曾输次第春
拥褐冥心客 连衾话得见 |Ref:穷经暮齿人
尊祖颂先烈 海天忧路章 |Ref:赓歌安用攀
若得临觞醉 君鱼不酒白 |Ref:何须减瑟弹
幕府才方急 军公已更贫 |Ref:骚人泪未干
自怜漂荡经年客 便是相年得一人 |Ref:送别千回独未归
上章尘世隔 无心故日遥 |Ref:看弈桐阴斜
寇息军容偃 初回树早前 |Ref:尘销朔野空
清吟可愈疾 思饮可无狂 |Ref:携手暂同欢
若教更解诸馀语 自意闻为出一人 |Ref:应向宫花不惜情
朱门狼虎性 风落只人心 |Ref:一半逐君回
寺处唯高僻 公时渐远雪 |Ref:云生石枕前
丹渥不因输绣段 信须期与谢陶<unk> |Ref:钱圆谁把买花声
琼台下昏侧 望望生横边 |Ref:手足前采乳
唯羡灵溪贤太守 乘家无爱为寂饰 |Ref:一麾清坐似深山
藕丝作线难胜针 蕊粉染黄那得深 |Ref:蕊粉染黄那得深
云雨经春客 江花几日程 |Ref:江山几日程
诗礼不外学 天节及西肃 |Ref:兄弟相攻研
西峰有客思相贺 万里方人寄别期 |Ref:门隔潇湘雪未开
身病向鄱阳 无悠过楚出 |Ref:家贫寄徐州
通道复通玄 孤心难下远 |Ref:名留四海传
雌一守命门 中皆能轻草 |Ref:回九填血脑
高秋灞浐路 远山江江萧 |Ref:游子多惨戚
诗题青玉案 酒佩紫罗袍 |Ref:衣赠黑貂裘
且困流金炽 肠为力紫侵 |Ref:难成独酌谣
寂寂闻猿愁 行无见鹤并 |Ref:行行见云收
腰金首翠光照耀 上朱含芳瑞千回 |Ref:丝竹迥发清以哀
马色分朝景 蝉声入夜风 |Ref:鸡声逐晓风
回头寻仙事 紫里上山生 |Ref:并是一空虚
卫后发鬒 到平忧齿 |Ref:飞燕体轻
旧好何由展 春衣竟所有 |Ref:新诗更忆听
秋至黍苗黄 齐来何有全 |Ref:无人可刈获
虽将身佐幕 由得信相任 |Ref:出入似闲居
初尘芸阁辞禅阁 无月将山寄旧楼 |Ref:却访支郎是老郎
音声嘈嘈满太虚 高景下唱如在林 |Ref:旨饮食兮照庖厨
一编香丝云撒地 深成诸女月不空 |Ref:玉钗落处无声腻
地势似五泻 山阴如一行 |Ref:岩形若三峡
更闻栖鹤警 人行举龙空 |Ref:清露滴青松
岂惟幽朔寒 门鼓无上更 |Ref:念我机中素
踟蹰下山妇 归思上天孙 |Ref:共申别离久
旧国云山在 新秋草草行 |Ref:新年风景馀
归去莲花归未得 醉君不著在劳州 |Ref:白云深处有茅堂
回头深自愧 旧业远荒莱 |Ref:旧业近沧溟
回首却归朝市去 玉家尘色重阳栖 |Ref:一稊米落太仓中
西州人不归 南去虎相扉 |Ref:春草年年碧
报之以微寒 然之功可流 |Ref:共给酒一斛
欲忆相逢后 难应未上前 |Ref:无言岭海人
今朝竹林下 犹觉看池邻 |Ref:莫使桂尊空
悟者子投母 身山无不精 |Ref:迷应地是天
火是腊天春 不逢凝水滨 |Ref:雪为阴夜月
旧感与新悲 相怀草又别 |Ref:虚怀酬昔时
肃肃艺祖 巍至松盛 |Ref:滔滔浚源
循环伐木咏 微子南家渐 |Ref:缅邈招隐情
谷根小苏息 江径日云持 |Ref:沴气终不灭
若有东来札 如闻西到离 |Ref:归鸿亦可凭
繁霜当永夜 落水当休贤 |Ref:寒草正惊风
寄崇专斧钺 吾物顿修阶 |Ref:礼备设坛场
还随张放友 共说坐关州 |Ref:来向石崇家
水园分芰叶 风色对羊枝 |Ref:邻界认芦花
龙头龙尾前年梦 碧斗雁鞭碧碧空 |Ref:今日须怜应若神
每揖龚黄事 便攀自相能 |Ref:还陪李郭舟
直道三湘水 全名万岭人 |Ref:高情四皓山
不忧悬磬乏 昭行得微长 |Ref:乍喜覆盂安
方周假庙 用鲁纯牲 |Ref:用鲁纯牲
游遨者是谁 礼言武城连 |Ref:君子为郁陶
吴苑歌骊成久别 东门云去待风风 |Ref:楚峰回雁好归音
琴伴前庭月 三随满集集 |Ref:酒劝后园春
托根非其所 生村尚相随 |Ref:不如遭弃捐
不将簪艾隔 辛叹俗来同 |Ref:知与道情俱
忽忆明皇西幸时 朝朝吏我焚残碧 |Ref:暗伤潜恨竟谁知
翠篾初织来 红花欲酒上 |Ref:或如古鱼器
茫茫名利内 不我自安知 |Ref:何以拂尘襟
此日相逢魂合断 远来还少客无虚 |Ref:赖君身事渐飞冲
拂席流莺醉 鸣鞭骏马肥 |Ref:鸣鞭骏马肥
有兴不愁诗韵险 能心不畏道心深 |Ref:无聊只怕酒杯乾
春夏作头 我为为兰 |Ref:秋冬为尾
七月江水大 百起野舟人 |Ref:沧波涨秋空
两衙多请告 长道久和兵 |Ref:三考欲成资
行人本是农桑客 任待迎来向到人 |Ref:记得春深欲种田
试攀檐果猿先见 坐得林桃柳来生 |Ref:才把渔竿鹤即来
不知庭树意 几暮是人心 |Ref:荣落感何人
乞巧望星河 <unk>漫复往还 |Ref:双双并绮罗
青春白日不与我 紫李相逢还半长 |Ref:当垆举酒劝君持
八十老婆拍手笑 莫须多与神言滋 |Ref:妒他织女嫁牵牛
方冬水物穷 又欲秋山樊 |Ref:又欲休山樊
艺可屠龙胆 华其定一情 |Ref:家曾近燕胎
值迥逢高驻马频 看相复转长圆川 |Ref:雪晴闲看洛阳春
流俗要求玄妙理 折人何得至为知 |Ref:参同契有两三行
帝命海东使 何书汉上侯 |Ref:人行天一涯
双燕营巢始西别 一蝉老去今人王 |Ref:百花成子又东还
山晓旅人去 野春秋雁嘶 |Ref:天高秋气悲
莫言生意尽 犹看有人回 |Ref:更引万年枝
赤县阳和布 青香月握阳 |Ref:苍生雨露膏
行藏如此辈 相心心知知 |Ref:何以谓谋身
佳城关白日 中国陇黄金 |Ref:哀挽向青门
畏老身全老 山秋事半公 |Ref:逢春解惜春
杨震东来是宦游 珠分明起把春新 |Ref:政成登此自消忧
举酒属吴门 垂欢感楚才 |Ref:今朝为君起
由来病根浅 四事入时吹 |Ref:易见药功成
沈饮聊自适 吟吟岂此家 |Ref:放歌颇愁绝
独向双峰老 频思半处闲 |Ref:松门闭两崖
陇东卧穟满风雨 莫信笼媒陇西去 |Ref:莫信龙媒陇西去
鸀鳿窥 潋滟无因见 |Ref:潋滟无因见
题名登塔喜 一影近山期 |Ref:醵宴为花忙
昔到才三岁 归逢已一神 |Ref:今来鬓已苍
韩信经营按镆铘 东惊马马逐轻早 |Ref:临戎叱咤有谁加
六辔未收千里马 二琴常向二影声 |Ref:一囊空负九秋萤
试涉霸王略 可陵不子壖 |Ref:将期轩冕荣
纵使空门再相见 易言阴处是家人 |Ref:还如秋月水中看
近日每思归少室 心知长拟在吾情 |Ref:故人遥忆隔潇湘
愿符千载寿 为寿一思篇 |Ref:不羡五株封
客有在中坐 恐无人处眠 |Ref:颂歌复何如
终日南山对 还关北路看 |Ref:何时渭水回
蘋小蒲叶短 江西玉叶时 |Ref:南湖春水生
寓目终无限 非心独不知 |Ref:通辞未有因
万里忆归元亮井 月傍曾聚直君仙 |Ref:三年从事亚夫营
静境揖神凝 惊流云气廓 |Ref:寒华射林缺
鬓发近来生处白 水前长后别生新 |Ref:家园几向梦中迷
满酌数杯酒 清吟一曲弦 |Ref:狂吟几首诗
故乡多古树 高客闻秋风 |Ref:落日少行人
坐闻西床琴 为调三山秋 |Ref:冻折两三弦
莫将画扇出帷来 更里凝风风月落 |Ref:遮掩春山滞上才
声齐雏鸟语 点出断花歌 |Ref:画卷老僧真
谢鲲吟未废 楚江云绣侵 |Ref:张硕梦堪思
赤龙已赴东方暗 野鹤何从万水流 |Ref:黄犬徒怀上蔡悲
虽然经济日 未爱致时时 |Ref:无忘幽栖时
更疑独泛渔舟者 水水闲沙云云流 |Ref:便是其中旧隐人
未曾周顗醉 难同汉才诗 |Ref:转觉季心恭
幽虫乘叶过 春鸟坐林期 |Ref:渴狖拥条看
身老无修饰 时达无百忧 |Ref:头巾用白纱
昏昏布裘底 远酒分战师 |Ref:病醉睡相和
可怜今夜宿青山 古人明思人一头 |Ref:何年却向青山宿
远宦联绵历 千生思道兴 |Ref:卑栖夙夜勤
明发将何赠 君心送与知 |Ref:平生双玉盘
建标明取舍 时入待归家 |Ref:胜负死生求
终期将尔曹 相与尔如流 |Ref:归去麋鹿群
保庆台榭古 遗书来床寒 |Ref:感时琴瑟秋
夜光玉枕栖凤凰 更思高幕檐舞光 |Ref:袷罗当门刺纯线
迹卑甘汩没 流子亦成贫 |Ref:名散称逍遥
鸳鹭叨云阁 鱼鱼爱帐中 |Ref:麒麟滞玉除
相知四十年 长见不百顾 |Ref:故国与长安
远公仍下世 促促更浮家 |Ref:从此别东林
犹怜醉里江南路 不马舟中从北门 |Ref:马上垂鞭学钓时
晨行踏忍草 见坐沾衣浪 |Ref:夜诵得灵花
渚边新雁下 舟上独凄凉 |Ref:舟上独凄凉
红笺白纸两三束 持笔病意文百仙 |Ref:半是君诗半是书
应为价高人不问 看花春寄一归归 |Ref:却缘香甚蝶难亲
身名同风波 天利各此发 |Ref:聚散未易量
喜气自能成岁丰 相名顾与酒乡醒 |Ref:农祥尔物来争功
灸病不得穴 见文无俗人 |Ref:徒为采艾人
洞箫日暖移宾榻 凉夜风孙起人居 |Ref:垂柳风多掩妓楼
征归诏下应非久 晚女云中定见愁 |Ref:德望人情在凤池
古贤犹怆河梁别 消旧中悲镊湘声 |Ref:未可匆匆便解携
晓鼓军容肃 平宣官月明 |Ref:疏钟客梦归
为爱青桐叶 日来白发霜 |Ref:因题满树诗
忠荩名空在 文兰水更收 |Ref:家贫道不行
所嗟无比邻 不作出相子 |Ref:余亦能偷尝
白云深处寄生涯 空有青人无处闲 |Ref:岁暮生情赖此花
户庭凝露清 琼扇散金华 |Ref:伴侣明月中
坎鼓铿钟杀愁贼 风中莫去空车寒 |Ref:挼碎是非佯不识
九重初启钥 千年事相真 |Ref:三事正称觞
不愁故国归无日 人事长山草柳回 |Ref:却恨浮名苦有涯
云作此书夜 偏为笑路春 |Ref:夜宿商州东
聊持数斗米 且用一岸人 |Ref:且救浮生取
万国来朝岁 涂山不日年 |Ref:千年觐圣君
物情多贵远 人道有相坟 |Ref:贤俊岂无今
巧为柔媚学优孟 儒衣嬉戏冠沐猿 |Ref:儒衣嬉戏冠沐猿
离忧苟可怡 心政曷可期 |Ref:孰能知其他
故情欢喜开书后 一节明光画欲时 |Ref:旧事思量在眼前
欹枕情何苦 临杯思不悲 |Ref:同舟道岂殊
花间炼药人 诗得得人正 |Ref:鸡犬和乳窦
夏课每垂奖 已云已并阳 |Ref:雪天常见忧
木落风高天宇开 石城秋下高山长 |Ref:秋原一望思悠哉
一半走来争跪拜 连杯手月似烟起 |Ref:上棚先谢得头筹
邹阳暖艳催花发 柳上春香奈喜歌 |Ref:太皞春光簇马归
一四太阳侧 好百天不喧 |Ref:一四天市傍
尽日相看俱不语 一涯相去有无情 |Ref:西风摇落数枝莲
因倾一樽酒 为我两清车 |Ref:题作杜秋诗
今朝圣藻偏流咏 又望风风最斗闻 |Ref:黄菊无由更敢邻
云疑作赋客 月似作乡人 |Ref:月似听琴人
含酸望松柏 与泪同独迟 |Ref:仰面诉穹苍
重门不下关 万阁满中山 |Ref:枢务有馀闲
桥闲野鹿过 潮动游人归 |Ref:街静禁鸦翻
孤戍云连海 高山月断书 |Ref:平沙雪度春
白首眼垂血 欲倚意尺生 |Ref:望尔唯梦中
市井不容义 人人中人幽 |Ref:义归山谷中
问君适万里 流事空三难 |Ref:取别何草草
云沙鹧鸪思 江树杜南泣 |Ref:风日沅湘愁
谋身非不切 莫心不来迟 |Ref:言命欲如何
玉漏声连北 金河气落东 |Ref:银河气极东
是时正月晦 归日早孤清 |Ref:假日无公事
三冬自矜诚足用 今春独落不欲寒 |Ref:十年不调几邅回
斜行题粉壁 萧望挂青洲 |Ref:短卷写红笺
黍稷良非贵 明德信惟馨 |Ref:明德信惟馨
旧隐还如此 归归更可知 |Ref:令人来又来
依然想得初成日 泛水谁空又映赏 |Ref:寄出秋山与我时
万户千门应觉晓 无时何处已溪川 |Ref:建章何必听鸣鸡
入松声不发 度菊影空摇 |Ref:过柳影空摇
笙歌引出桃花洞 伫夜朝明竹满船 |Ref:罗绣拥来金谷园
揽衣出门望 知涕涕空襟 |Ref:落叶满长道
莲池伊水入 竹树灞舟如 |Ref:石径远山通
受委当不辱 生当当道媒 |Ref:随时敢赠言
将生皮夫子 与死同所宽 |Ref:上帝可其奏
雨中跼蹐时 乃得有相夕 |Ref:一向听霎霎
宴罢众宾散 光天欢士通 |Ref:长歌携一卮
食之不饫饫不尽 足为之之真满随 |Ref:使人不陋复不愚
惟求文章写 林吟不轻浅 |Ref:不敢妒与争
一瓢非可乐 何处谁堪吟 |Ref:六翮未因风
清光日修阻 白海天无秋 |Ref:尺素安可论
风雷吟不觉 月雨亦不知 |Ref:猿鹤老为期
兔园宾客至 松雪与干青 |Ref:金谷管弦声
偶然成一醉 还得不无暮 |Ref:此外更何之
终日空理棹 对身不知舟 |Ref:经年犹别家
烟波遗汲汲 遂得数漠坚 |Ref:矰缴任云云
我来赊酒相留宿 独入清舟秋月眠 |Ref:听我披衣看雪吟
病来前约分明在 弦叶还知尽敢论 |Ref:药鼎书囊便是家
谅直寻钳口 游情见蓬峰 |Ref:奸纤益比肩
陷却平阳为小怜 从来公比有千声 |Ref:周师百万战长川
闻道淮阳守 何为楚酒发 |Ref:东南卧理清
汉代簪缨盛 归春鼎业高 |Ref:梁园雉堞雄
一丘常欲卧 久久亦先吟 |Ref:三径苦无资
明年四月秦关到 落日三春楚处归 |Ref:洗眼扬州看马蹄
退朝下直少徒侣 才道时还闻行漓 |Ref:归舍闭门无送迎
醉来啼鸟唤 不定落人知 |Ref:坐久落花多
道屈才方振 诗诗命已居 |Ref:身闲业始专
怀恩不浅 有意馀杯 |Ref:武义双辑
丹青公旧物 昨雨别新新 |Ref:一为变蚩妍
轻烟浮草色 远月落山池 |Ref:微雨濯年华
今为不孝子 身事无相天 |Ref:世间多此样
闻君亦多感 见我亦相乡 |Ref:何处倚阑干
徒言玉节将分阃 不向天情莫别君 |Ref:定是沙堤欲到门
有田不得耕 无日不为钓 |Ref:身卧辽阳城
此心闲未得 还日看江中 |Ref:到处被诗磨
东楼喜奉连枝会 一席还千顾太尊 |Ref:南陌愁为落叶分
天枢限南北 岂我更巴布 |Ref:地轴殊乡国
少年有胆气 衰赠如如机 |Ref:独猎阴山下
桃李竟何言 萧花自自年 |Ref:终成南山皓
或为舆隶唱 便是<unk>客连 |Ref:或被儿童怜
半与尔充衣食费 人尘今在席中城 |Ref:半与吾供酒肉钱
逢萌挂冠 地空明蝉 |Ref:胡昭投簪
远近持斋来谛听 良如闻至天人同 |Ref:酒坊鱼市尽无人
目极暂登台上望 江过还是波前前 |Ref:心遥长向梦中归
万行流别泪 一里不离心 |Ref:九折切惊魂
观名计之利 身事亦何功 |Ref:讵足相陪裨
移花疏处过 间叶乱时狂 |Ref:劚药困时攀
悬想到杭州兴地 玉风巫前不共名 |Ref:尊前应与话离忧
将军初执讯 南入有雄歌 |Ref:明主欲论功
水驿偏乘月 山人马过黄 |Ref:梅园别受春
永遁刀笔吏 从朋心墨心 |Ref:宁期簿书曹
寒泉飞碧螭 南景上青鸿 |Ref:古木斗苍兕
巉巉见铜阙 拨正无天无 |Ref:左右皆辅弼
乳洞阴阴碧涧连 天霞霭雾苍峰泉 |Ref:杉松六月冷无蝉
失计为卑吏 今风未举论 |Ref:三年滞楚乡
晴空一鸟渡 夏色一花斜 |Ref:万里秋江碧
自古有行役 萧凉无岁心 |Ref:谁人免别家
有情惟墨客 天力不鲈还 |Ref:无语是禅家
管弦渐好新教得 风醉犹传长得传 |Ref:罗绮虽贫免外求
寂寂无聊九夏中 清香唯日五天里 |Ref:傍檐依壁待清风
我因赞时理 清棹空处名 |Ref:书寄西飞翮
去程风刺刺 断起雪含英 |Ref:别夜漏丁丁
别有真人气 幽来合子飞 |Ref:安知名不名
观化复何如 喧山而自有 |Ref:刳心信为愈
寒渚一孤雁 秋云一千客 |Ref:夕阳千万山
自知群从为儒少 闲看野光作禁阳 |Ref:岂料词场中第频
原上晚无人 山中春一木 |Ref:因高聊四顾
晚景采兰暇 行风归柳楼 |Ref:空林散帙时
二月苔为色 清风水掩叹 |Ref:三冬雪作花
利名心未已 欲道眼长如 |Ref:离别恨难休
取笑同学翁 此乐空道车 |Ref:浩歌弥激烈
昨日已尝村酒熟 楚亭新熟卧空成 |Ref:一杯思与孟嘉倾
上知不可遏 去去何能牵 |Ref:命以美语酬
一方清气群阴伏 况是高光无事得 |Ref:半局闲棋万虑空
筋骸将束缚 争得引骸夷 |Ref:腠理如箠挞
湖波翻似箭 空日静如树 |Ref:霜草杀如刀
欲起摇荷盖 空飞绕芦杯 |Ref:闲飞溅水珠
子近湖边住 人遥海上忙 |Ref:静境称高情
早变山东知顺命 先攻亦异暗阳生 |Ref:新收济上立殊功
江湖经一雨 舟叶入三风 |Ref:日月换新秋
飘飖九霄外 下视四仙宫 |Ref:下视望仙宫
落日临川问音信 向天殊上离歌悲 |Ref:寒潮唯带夕阳还
天地庄生马 佳为楚人群 |Ref:江湖范蠡舟
至人独幽鉴 敢得不清密 |Ref:窈窕随昏明
自从二主来 流心为天去 |Ref:此祸竟连连
养力时行道 依功或隐途 |Ref:闻钟不上堂
为逢桃树相料理 何向秦池共丹华 |Ref:不觉中丞喝道来
