碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
长为邑令情终屈 不觉春风别不知<eos> |Ref:纵处曹郎志未甘
足恨饶悲不自由 不知何处不知身<eos> |Ref:萍无根蒂水长流
半与尔充衣食费 不知何处是无情<eos> |Ref:半与吾供酒肉钱
诗任传渔客 诗成作子孙<eos><eos><eos> |Ref:衣从递酒家
大史占南极 天门入高山<eos><eos><eos> |Ref:秋分见寿星
汉皇封子弟 不是不知人<eos><eos><eos> |Ref:周室命诸侯
河冰连地冻 山石入天光<eos><eos><eos> |Ref:朔气压春寒
小人无事艺 不得有天人<eos><eos><eos> |Ref:假尔作梯媒
吾闻虿有毒 不以为神清<eos><eos><eos> |Ref:见之可疾驱
长忆旧山青壁里 不知春色不相逢<eos> |Ref:绕庵闲伴老僧禅
那将寂寞老病身 不得相逢不可知<eos> |Ref:更就微虫借光影
不老即须夭 何人不得知<eos><eos><eos> |Ref:不夭即须衰
此中境既无佳境 不得三年不可闻<eos> |Ref:他处春应不是春
笑次度岩壑 心间在野林<eos><eos><eos> |Ref:困中遇台殿
我家南山下 不见一年老<eos><eos><eos> |Ref:动息自遗身
河水昔将决 山花无所起<eos><eos><eos> |Ref:冲波溢川浔
翟回车少别 燕过路难难<eos><eos><eos> |Ref:凫化舄遥驰
安危大臣在 不见故人归<eos><eos><eos> |Ref:不必泪长流
明日五更孤店月 白云无见海涛斜<eos> |Ref:醉醒何处泪沾巾
残药倘能沾朽质 老儿无得有神仙<eos> |Ref:愿将霄汉永为邻
银钥开香阁 金墀彩绣衣<eos><eos><eos> |Ref:金台照夜灯
五柞宫中过腊看 五山相见不成深<eos> |Ref:万年枝上雪花残
石渠忽见践 不见长安知<eos><eos><eos> |Ref:金房安可托
行将鸡黍祭 坐见龙山水<eos><eos><eos> |Ref:已是乌鸢食
楚天长短黄昏雨 楚国归来白日来<eos> |Ref:宋玉无愁亦自愁
情人去何处 不见春风起<eos><eos><eos> |Ref:淇水日悠悠
何人居此处 不见一山流<eos><eos><eos> |Ref:云是鲁女冠
青苔寺里无马迹 白日山中见僧书<eos> |Ref:绿水桥边多酒楼
富贵百年能几何 不知春老无所得<eos> |Ref:死生一度人皆有
玉皇赐妾紫衣裳 一片金金红红发<eos> |Ref:教向桃源嫁阮郎
窗风从此冷 山色满空芜<eos><eos><eos> |Ref:诗思当时清
南行随越僧 一望东山水<eos><eos><eos> |Ref:别业几池菱
亦曾烧大药 不得是闲人<eos><eos><eos> |Ref:消息乖火候
幸以薄才当客次 不知何事是天涯<eos> |Ref:无因弱羽逐鸾翔
弦贞五条音 歌向三金卷<eos><eos><eos> |Ref:松直百尺心
学古三十载 不为一国亲<eos><eos><eos> |Ref:犹依白云居
鹤性松心合在山 不知人在不知时<eos> |Ref:五侯门馆怯趋攀
至人独幽鉴 不见无所为<eos><eos><eos> |Ref:窈窕随昏明
纬萧或卖药 不得为人识<eos><eos><eos> |Ref:出处安能期
蕙依潜可习 花似不无清<eos><eos><eos> |Ref:云合定谁令
越嶂远分丁字水 一声犹似落红丝<eos> |Ref:腊梅迟见二年花
膺天命 礼王雍<eos><eos><eos><eos><eos> |Ref:拥神休
卧簟乘闲乍逐凉 一枝花叶一相思<eos> |Ref:熏炉畏热懒焚香
千里难同赏 三年不可怜<eos><eos><eos> |Ref:看看又早梅
浸淫沙市儿童乱 大鹿鱼鱼春苦来<eos> |Ref:汩没汀洲雁鹜哀
恋池群鸭回 入夜千里暮<eos><eos><eos> |Ref:释峤孤云纵
昨与美人对尊酒 不见三年无人语<eos> |Ref:朱颜如花腰似柳
看著挂冠迷处所 一枝花落一回头<eos> |Ref:北山萝月在移文
缥帙各舒散 金居礼有真<eos><eos><eos> |Ref:前后互相逾
远棹漳渠水 飞旗汉苑台<eos><eos><eos> |Ref:平流几处分
惭将衰末分 不觉此心同<eos><eos><eos> |Ref:高栖喧世名
唯有东陵守高节 一枝一片白云来<eos> |Ref:青门甘作种瓜人
谢公终一起 不得一相逢<eos><eos><eos> |Ref:相与济苍生
珠佩元消暑 金炉自散金<eos><eos><eos> |Ref:犀簪自辟尘
遥知陶令宅 不得天明日<eos><eos><eos> |Ref:五树正离披
看君有知己 不见一年年<eos><eos><eos> |Ref:坦腹向平津
家风本钜儒 山石在天地<eos><eos><eos> |Ref:吏职化双凫
百马饮一泉 一言为我生<eos><eos><eos> |Ref:一马争上游
暮春栏槛有佳期 一片春风一片花<eos> |Ref:公子开颜乍拆时
秋风树不静 秋水月犹深<eos><eos><eos> |Ref:君子叹何深
智乖时亦蹇 心不不成贫<eos><eos><eos> |Ref:才大命有通
今日因君访兄弟 不知何处是人人<eos> |Ref:数行乡泪一封书
天纪启真命 天明无所亲<eos><eos><eos> |Ref:君生臣亦生
周南有遗老 不得无所求<eos><eos><eos> |Ref:掩泪望秦川
俊鸟还投高处栖 一枝花落白漫漫<eos> |Ref:腾身戛戛下云梯
丰功利生人 不得为其涯<eos><eos><eos> |Ref:天地同朽灭
可以加药物 不知为人心<eos><eos><eos> |Ref:胡为辄忧煎
挥袂故里远 回帆归路难<eos><eos><eos> |Ref:悲伤去住心
报君黄金台上意 不得金壶一酒人<eos> |Ref:提携玉龙为君死
古石琅玕姿 寒窗清清净<eos><eos><eos> |Ref:秘文螭虎形
画工飞梦寐 天阙入江波<eos><eos><eos> |Ref:诗客寄林泉
暑退早凉归 清风入远山<eos><eos><eos> |Ref:池边好时节
花砖曾立摘花人 一度春风一夜声<eos> |Ref:窣破罗裙红似火
楼压黄河山满坐 山凝寒树水深深<eos> |Ref:风清水凉谁忍卧
落日投江县 春来不可寻<eos><eos><eos> |Ref:征尘漱齿牙
黄旗举义 白发斯文<eos><eos><eos><eos> |Ref:三灵会同
回波送神曲 一日无所思<eos><eos><eos> |Ref:云雨满潇湘
刘宠一钱 不得不知<eos><eos><eos><eos> |Ref:廉范五袴
崇朝方浃宇 清景已萧萧<eos><eos><eos> |Ref:宸盼俯凝旒
况我行且徒 不知君子知<eos><eos><eos> |Ref:而君往犹蹇
北邙坡上青松下 不见青山无限情<eos> |Ref:尽是锵金佩玉坟
既资闲养疾 不得不知此<eos><eos><eos> |Ref:亦赖慵藏拙
久作涔阳令 不知为世人<eos><eos><eos> |Ref:丹墀忽再还
迸出班犀数十株 不知天地无人力<eos> |Ref:更添幽景向蓬壶
今人异古人 不得为我生<eos><eos><eos> |Ref:结托唯亲宾
踯躅因风松 何人为子孙<eos><eos><eos> |Ref:青冥谢仙叟
堆土渐高山意出 满花无得酒相思<eos> |Ref:终南移入户庭间
猩袍懒著辞公宴 不得金鞭作客书<eos> |Ref:鹤氅闲披访道流
鬓丝饶镜色 衣袖满春寒<eos><eos><eos> |Ref:隙雪夺灯辉
叶屿花潭极望平 一声愁杀一声声<eos> |Ref:江讴越吹相思苦
并向殊庭谒 何妨白马知<eos><eos><eos> |Ref:俱承别馆追
归到双溪桥北寺 一枝无处有清凉<eos> |Ref:乡僧争就学威仪
绮陌暖风嘶去马 玉楼吹月入秦城<eos> |Ref:粉廊初日照趋朝
不是平生旧 何由得酒开<eos><eos><eos> |Ref:遗踪要可伤
酒食宴圃人 不知君王事<eos><eos><eos> |Ref:栽接望早成
帝京元巳足繁华 一日清明一白云<eos> |Ref:细管清弦七贵家
生前几到此亭台 不觉无人不可知<eos> |Ref:寻叹投荒去不回
松竹逾映蔚 松篁正玲珑<eos><eos><eos> |Ref:芝兰自销亡
云南更有溪 不见一枝花<eos><eos><eos> |Ref:丹砾尽无泥
凭君满酌酒 不得一杯归<eos><eos><eos> |Ref:听我醉中吟
剑可剸犀兕 儿无作破丝<eos><eos><eos> |Ref:剑可切琼玖
短小精悍姿 长作白头死<eos><eos><eos> |Ref:屹然强寇敌
蟋蟀已惊良节度 茱萸初艳翠红红<eos> |Ref:茱萸偏忆故人期
低头不出气 一点如白云<eos><eos><eos> |Ref:塞默少精神
想得月中仙桂树 不知春色不相逢<eos> |Ref:各从生日长新枝
竟日窗中岫 无因水上烟<eos><eos><eos> |Ref:终年林下人
新声是何曲 不觉不相思<eos><eos><eos> |Ref:沧浪之水清
问君适万里 不见天涯长<eos><eos><eos> |Ref:取别何草草
不归渭北村 不见江南春<eos><eos><eos> |Ref:又作江南客
回瞻相好因垂泪 不觉何人不得身<eos> |Ref:苦海波涛何日平
议堂犹集凤 明律不成珠<eos><eos><eos> |Ref:正观是元龟
渥命随三接 何必为君公<eos><eos><eos> |Ref:皇恩畅九垓
莫惊五胜埋香骨 不得长安不可知<eos> |Ref:地下伤春亦白头
无令长相忆 不见一年春<eos><eos><eos> |Ref:折断绿杨枝
拔山力尽乌江水 不觉时来春草秋<eos> |Ref:今古悠悠空浪花
郡楼有遗唱 山水无幽趣<eos><eos><eos> |Ref:新和敌南金
处士不生巫峡梦 今年无得旧闲书<eos> |Ref:虚劳神女下阳台
屡向曲池陪逸少 不知无事是时多<eos> |Ref:几回戎幕接玄晖
偶荫桂堪帷 不知心自苦<eos><eos><eos> |Ref:纵吟苔可席
秦嘉镜有前时结 楚月台前入庭香<eos> |Ref:韩寿香销故箧衣
江月光于水 山风夜不知<eos><eos><eos> |Ref:高楼思杀人
滕王阁上唱伊州 一曲长风一一声<eos> |Ref:二十年前向此游
鹤发垂肩尺许长 不知何处是天涯<eos> |Ref:离家三十五端阳
之子言旋 不以为公<eos><eos><eos><eos> |Ref:嘉名孔修
鼗笙磬竽瑟 香对金玉琴<eos><eos><eos> |Ref:是必登清庙
远戎兵压境 高客客相思<eos><eos><eos> |Ref:迁客泪横襟
空愧驽骀异一毛 不知何事不知知<eos> |Ref:无令朽骨惭千载
手不把书卷 心不得<unk><unk><eos><eos><eos> |Ref:身不擐戎衣
岳寒当寺色 山静入楼声<eos><eos><eos> |Ref:滩夜入楼声
既不暇供应 不知为贤智<eos><eos><eos> |Ref:将何以酬酢
分曹八舍断 入客五湖来<eos><eos><eos> |Ref:解袂五时空
拂水低徊舞袖翻 一回春色似青云<eos> |Ref:缘云清切歌声上
后须离影响 不是夜来时<eos><eos><eos> |Ref:得必洞精深
鹤飞将羽节 龙似入龙涛<eos><eos><eos> |Ref:遥向赤城分
井底有甘泉 不知不可为<eos><eos><eos> |Ref:釜中乃空然
庆接郊禋后 高祥月下千<eos><eos><eos> |Ref:酺承农事稀
杜陵斜晚照 不见故山风<eos><eos><eos> |Ref:潏水带寒淤
寄谢天地间 不知不能得<eos><eos><eos> |Ref:毫端皆我有
内人未识江淹笔 不得春来一片花<eos> |Ref:竟问当时不早求
谢家争拟絮 不得是君家<eos><eos><eos> |Ref:越岭误惊梅
大沩心付白崖前 一片金铺满洞庭<eos> |Ref:宝月分辉照蜀天
谩夸浮世青云贵 不得无由不得身<eos> |Ref:未尽离杯白发新
尺素忽惊来梓泽 清风不得入天台<eos> |Ref:双金不惜送蓬山
为性玩好尽 不知不可寻<eos><eos><eos> |Ref:积愁心绪微
具观泽国秀 俯望天河起<eos><eos><eos> |Ref:重使春心伤
汉兵大呼一当百 汉道人生一人死<eos> |Ref:虏骑相看哭且愁
转影连金屋 开光入玉壶<eos><eos><eos> |Ref:分辉丽锦茵
唯有妖娥曾舞处 不知何处是春风<eos> |Ref:古台寂寞起愁烟
远树蔽行人 孤舟无复见<eos><eos><eos> |Ref:长天隐秋塞
蒹葭离披去 何人见楚乡<eos><eos><eos> |Ref:天水相与永
竭力不敢惮 为夷无可论<eos><eos><eos> |Ref:惭戴天子恩
增戟雄都府 出门在旧仙<eos><eos><eos> |Ref:高车转太常
长沙千载后 一日一年春<eos><eos><eos> |Ref:春草独萋萋
今朝丘壑上 不见无所为<eos><eos><eos> |Ref:高兴小蓬瀛
少年有胆气 不得无人期<eos><eos><eos> |Ref:独猎阴山下
离心更羡高斋夕 一片风吹一片春<eos> |Ref:巫峡花深醉玉卮
道情亲法侣 心事在人间<eos><eos><eos> |Ref:时望登朝右
班杨秉文史 张郁在王间<eos><eos><eos> |Ref:对院自为邻
楚垒万重多故事 一行一曲长江风<eos> |Ref:汉波千叠更残阳
封作天齐王 为神玉为罪<eos><eos><eos> |Ref:清祠太山下
行乐远夸红布旆 舞衣初映碧青龙<eos> |Ref:风流近赌紫香囊
淘米少汲水 不觉无如风<eos><eos><eos> |Ref:汲多井水浑
扣门无犬吠 开壁闲人好<eos><eos><eos> |Ref:欲去问西家
客亭同宿处 山水满山林<eos><eos><eos> |Ref:忽似夜归乡
百氏六经 一为一生<eos><eos><eos><eos> |Ref:九流七略
国人久倚东关望 不得相逢一夜声<eos> |Ref:拟筑沙堤到广陵
徐方国东枢 不见无人道<eos><eos><eos> |Ref:元戎天下杰
无奈离肠日九回 一枝吹落白花开<eos> |Ref:强摅离抱立高台
微风和暖日鲜明 一片风风入一枝<eos> |Ref:草色迷人向渭城
云衣惹不破 风露动轻辉<eos><eos><eos> |Ref:秋色望来空
白云遇物无偏颇 白日飞飞雪不知<eos> |Ref:自是人心见同异
海内戎衣卷 山中玉箸开<eos><eos><eos> |Ref:关中贼垒平
露沾湘竹泪 风落楚人蝉<eos><eos><eos> |Ref:花堕越梅妆
余亦草间人 何由不相见<eos><eos><eos> |Ref:颇怀拯物情
曾识云仙至小时 不知不得不知身<eos> |Ref:芙蓉头上绾青丝
水深波浪阔 山水人不见<eos><eos><eos> |Ref:无使皎龙得
韦门同是旧亲宾 不得无人不得来<eos> |Ref:独恨潘床簟有尘
巴字江流一棹回 一年何处一枝飞<eos> |Ref:紫袈裟是禁中裁
穷老真无事 无人不可知<eos><eos><eos> |Ref:江山已定居
药香沾笔砚 花影入楼前<eos><eos><eos> |Ref:竹色染衣巾
祥烟满虚空 天水如碧嶂<eos><eos><eos> |Ref:春色无边畔
无财方是贫 不得不知有<eos><eos><eos> |Ref:有道固非病
高僧眼根静 寒日入禅阴<eos><eos><eos> |Ref:应见客吟神
世外交初得 天涯日不穷<eos><eos><eos> |Ref:林中契已并
一纸书封四句诗 一声相送不胜愁<eos> |Ref:芳晨对酒远相思
试马依红埒 登山入白云<eos><eos><eos> |Ref:吹箫弄紫霞
孤城夕对戍楼闲 一树寒吟落月明<eos> |Ref:回合青冥万仞山
还从万籁起 不见一声来<eos><eos><eos> |Ref:更与五音同
冲虚冥至理 皎洁无其端<eos><eos><eos> |Ref:体道自玄通
门前春水白蘋花 一枝飞雨如芙蓉<eos> |Ref:岸上无人小艇斜
空留建安书 不得为所为<eos><eos><eos> |Ref:传说七子名
从兹林下客 不觉不相亲<eos><eos><eos> |Ref:应□代天功
那能有馀兴 不得一枝花<eos><eos><eos> |Ref:不作剡溪寻
辉天复耀地 不见天上山<eos><eos><eos> |Ref:再为歌咏始
商山夏木阴寂寂 江南一里风风凉<eos> |Ref:好处徘徊驻飞锡
凤箫抛旧曲 玉佩入新风<eos><eos><eos> |Ref:鸾镜懒新妆
稍促高高燕 闲深入路难<eos><eos><eos> |Ref:微疏的的萤
千杯绿酒何辞醉 一片青云不见君<eos> |Ref:一面红妆恼杀人
二月韶春半 千年夜不回<eos><eos><eos> |Ref:三空霁景初
剑南春色还无赖 不觉春风入白云<eos> |Ref:触忤愁人到酒边
终当就知己 不得无人迹<eos><eos><eos> |Ref:莫恋潺湲流
别离当乱世 何处是无人<eos><eos><eos> |Ref:骨肉在他乡
得罪谁人送 无人不可知<eos><eos><eos> |Ref:来时不到家
宝刀截流水 玉柱动清切<eos><eos><eos> |Ref:无有断绝时
盛选栋梁非昔日 高将玉荐旧时欢<eos> |Ref:平均雨露及明时
三秋伤望眼 一日不相逢<eos><eos><eos> |Ref:终日哭途穷
忽惊池上鹭 不见酒中声<eos><eos><eos> |Ref:下咽陇头泉
凡人年三十 不得无所为<eos><eos><eos> |Ref:外壮中已衰
皓指高低寸黛愁 一杯长在白头中<eos> |Ref:水精梳滑参差坠
闻道收宗庙 何人见此人<eos><eos><eos> |Ref:鸣銮自陕归
纤纤软玉削春葱 落叶残花绿花红<eos> |Ref:长在香罗翠袖中
水石南州好 山南一夜风<eos><eos><eos> |Ref:谁陪刻骨吟
凭君不用回舟疾 不得春风入御筵<eos> |Ref:今夜西江月正圆
洞连龙穴全山冷 山映云云万里秋<eos> |Ref:窗透鳌波尽室清
目前相识无一人 不知一日无人间<eos> |Ref:出入空伤我怀抱
祖德今发扬 不知日回日<eos><eos><eos> |Ref:还同书史册
庄园烧尽有枯井 不得为君无所求<eos> |Ref:行宫门闭树宛然
楚笔防寄书 吴衣垂倒粟<eos><eos><eos> |Ref:蜀茶忧远热
穷阴急景坐相催 一片风尘不可怜<eos> |Ref:壮齿韶颜去不回
上皇銮辂重巡游 一日开回万里雄<eos> |Ref:雨泪无言独倚楼
自领蓬莱都水监 不知胡帝作秦媒<eos> |Ref:只忧沧海变成尘
回头却问诸年少 不觉春风不可知<eos> |Ref:作个狂夫得了无
集贤雠校无闲日 不得长安不得来<eos> |Ref:落尽瑶花君不知
肃礼恭禋载展 承恩洽荐三章<eos><eos> |Ref:翘襟邈志逾殷
终期仙掌下 不见白云人<eos><eos><eos> |Ref:香火一相亲
征骖临野次 归去入江流<eos><eos><eos> |Ref:别袂惨江垂
再入更显严 一来动氛氲<eos><eos><eos> |Ref:九迁弥謇谔
定访玉泉幽院宿 不知春色不相亲<eos> |Ref:应过碧涧早茶时
圣恩将报厚 天子在登巡<eos><eos><eos> |Ref:请述记言书
茫然心苦千篇拙 不得何由得得名<eos> |Ref:暝坐神凝万象空
功名未立诚非晚 不是人间不可知<eos> |Ref:骨肉分飞又入秋
楚岸青枫树 湘江白雪船<eos><eos><eos> |Ref:长随送远心
平生有钱将与人 不得不知不能得<eos> |Ref:江上故园空四壁
所以元鲁山 不知一年年<eos><eos><eos> |Ref:饥衰难与偕
泪向槟榔尽 心应入汉开<eos><eos><eos> |Ref:身随鸿雁归
把君诗句高声读 不觉风光不可知<eos> |Ref:想得天高也合闻
及时须遨游 不敢见清此<eos><eos><eos> |Ref:日暮饶风沙
念君等为死 不得不可知<eos><eos><eos> |Ref:万事伤人情
幽人渴如何 不知不可知<eos><eos><eos> |Ref:酝兰为酒浆
时秋积雨霁 日暮风云来<eos><eos><eos> |Ref:新凉入郊墟
落日驻行骑 寒风闻楚人<eos><eos><eos> |Ref:沉吟怀古情
七盘九折寒崷崒 一书一点不能持<eos> |Ref:翻车倒盖犹堪出
繁华堪泣帝城春 玉门飞凤凌清风<eos> |Ref:粉堞青楼势碍云
闲人暂听犹眉敛 不得相逢一一杯<eos> |Ref:可使和蕃公主闻
节使横行西出师 风流落坐不知君<eos> |Ref:鸣弓擐甲羽林儿
玉殿孤新榜 金门上殿前<eos><eos><eos> |Ref:珠英落旧丛
七夕今宵看碧霄 一枝一字一声轻<eos> |Ref:牵牛织女渡河桥
青青伊涧松 白发一年月<eos><eos><eos> |Ref:移植在莲宫
何事长沙谪 何人人自知<eos><eos><eos> |Ref:相逢楚水秋
修蛇横洞庭 白叶满檐前<eos><eos><eos> |Ref:吞象临江岛
牛领冈头 何人不得<eos><eos><eos><eos> |Ref:红箫笼下
岳寺蕙兰晚 山中白发新<eos><eos><eos> |Ref:几时幽鸟还
除却青衫在 何由白发新<eos><eos><eos> |Ref:其馀便是僧
欲寻苏小小 不得一成书<eos><eos><eos> |Ref:何处觅钱塘
独怜倾国貌 不觉玉壶轻<eos><eos><eos> |Ref:不负早莺春
音声嘈嘈满太虚 天龙气兮天来开<eos> |Ref:旨饮食兮照庖厨
我有吴越曲 不知不相思<eos><eos><eos> |Ref:无人知此音
自云发南海 不知无所思<eos><eos><eos> |Ref:万里速如飞
女郎闺阁春 一曲看春夜<eos><eos><eos> |Ref:抱瑟坐花茵
橘寒才弄色 松静不成枝<eos><eos><eos> |Ref:须带早霜繁
在物多相背 无人不可知<eos><eos><eos> |Ref:唯君独见思
微雾苍平楚 清风入白云<eos><eos><eos> |Ref:残晖淡远峰
鱼龙不解语 不见何由归<eos><eos><eos> |Ref:海曲空蝉娟
因分三辅职 不见五侯贤<eos><eos><eos> |Ref:进领南平位
虚牖闲生白 寒泉月满青<eos><eos><eos> |Ref:鸣琴静对言
建章寒漏起 归马不相逢<eos><eos><eos> |Ref:更助掖垣深
百忧攒心起复卧 一声愁断一声声<eos> |Ref:夜长耿耿不可过
细雨弄春阴 清风吹一曲<eos><eos><eos> |Ref:馀寒入昼深
真人居阆风 一日无风波<eos><eos><eos> |Ref:时奏清商音
消渴游江汉 清光见谢公<eos><eos><eos> |Ref:羁栖尚甲兵
我从老大来 不得不能知<eos><eos><eos> |Ref:窃慕其为人
乃知前日欢 不得无所为<eos><eos><eos> |Ref:本为今日悲
仙去留虚室 天来入玉尊<eos><eos><eos> |Ref:龙归涨碧潭
秦帝城高坚似铁 汉州人上不如丝<eos> |Ref:李斯书上曲如钩
竹林既深远 松柏无幽阴<eos><eos><eos> |Ref:松宇复清虚
旗纛早开擒虎帐 龙蛇空起读书行<eos> |Ref:戈鋋初发斩鲸舟
炉寒资爇荻 石色静流流<eos><eos><eos> |Ref:屋暖赖编茅
北上太行山 东南不相见<eos><eos><eos> |Ref:临风阅吹万
顺居无鬼瞰 不得为心难<eos><eos><eos> |Ref:抑横免官评
裙腰银线压 衣裳药作轻<eos><eos><eos> |Ref:梳掌金筐蹙
裘破气不暖 步飞处不起<eos><eos><eos> |Ref:马羸鸣且哀
楚客凛秋时 江南一相望<eos><eos><eos> |Ref:桓公旧台上
搜神得句题红叶 为日开山入一杯<eos> |Ref:望景长吟对白云
天边为要留名姓 不得长安一夜来<eos> |Ref:拂石殷勤身自题
但示酬恩路 何必为此禄<eos><eos><eos> |Ref:浮生任转蓬
以彼撩乱思 不为上海游<eos><eos><eos> |Ref:吟为幽怨声
有名传后世 无事不知人<eos><eos><eos> |Ref:无子过今生
觉闻繁露坠 不觉无时长<eos><eos><eos> |Ref:开户临西园
相逢此溪曲 不见一枝飞<eos><eos><eos> |Ref:胜托在烟霞
艳质无由见 清声不可知<eos><eos><eos> |Ref:寒衾不可亲
今朝登此楼 不见一年生<eos><eos><eos> |Ref:有以知其然
秋到任他林落叶 夜看无人见长枝<eos> |Ref:春来从你树开花
寒雁一向南去远 一年何处不相逢<eos> |Ref:游人几度菊花丛
月影缘山尽 风声入浦深<eos><eos><eos> |Ref:钟声隔浦微
青春不出门 白日不可见<eos><eos><eos> |Ref:坐见野田花
游吴还适越 归去不相逢<eos><eos><eos> |Ref:来往任风波
吕安兄不道 不是是无人<eos><eos><eos> |Ref:都市杀嵇康
坎鼓铿钟杀愁贼 金龙射凤金<unk><unk><eos> |Ref:挼碎是非佯不识
槱燎既积 <unk>有其深<eos><eos><eos><eos> |Ref:稷奠并芳
伏泉通粉壁 高阁入金州<eos><eos><eos> |Ref:迸笋出花林
谁风轻阴是良夜 不知风光无所为<eos> |Ref:瀑泉声畔月明中
晓吹翩翩动翠旗 春风雨尽春风吹<eos> |Ref:炉烟千叠瑞云飞
岐路春三月 江山月满人<eos><eos><eos> |Ref:园林海一涯
杖策寻故人 相思不相见<eos><eos><eos> |Ref:解鞭暂停骑
阔四尺 不可见<eos><eos><eos><eos><eos> |Ref:长丈二
一体列秩 一身不得<eos><eos><eos><eos> |Ref:同力翼戴
瑞表壬寅露 恩中为圣聪<eos><eos><eos> |Ref:光传甲子宵
夜酌此时看碾玉 春风不语似垂杨<eos> |Ref:晨趋几日重鸣珂
一声似向天上来 一声不见天地寒<eos> |Ref:月下美人望乡哭
庭鸟多好音 山风不如春<eos><eos><eos> |Ref:相呼灌木中
百战得功名 不知道士同<eos><eos><eos> |Ref:天兵意气生
宛委山里禹馀粮 不觉山中有客心<eos> |Ref:石中黄子黄金屑
故人南台旧 一日春风风<eos><eos><eos> |Ref:一别如弦矢
应得烟霞出俗心 不知天下不知君<eos> |Ref:茅山道士共追寻
四邻见疏木 一日无人心<eos><eos><eos> |Ref:万井度寒砧
我鳞日已大 我马不可测<eos><eos><eos> |Ref:我羽日已修
莫怪坐中难得醉 不知何处是人心<eos> |Ref:醒人心骨有潺湲
大君端扆暇 不得道心足<eos><eos><eos> |Ref:睿赏狎林泉
随宜讵说三 不得不为量<eos><eos><eos> |Ref:直下开不二
宁同梁武遇达磨 不得君王为所思<eos> |Ref:过后弹指空伤悲
岭上千峰秀 山中万里春<eos><eos><eos> |Ref:江边细草春
委嘱露华并细雨 满山闲处似残风<eos> |Ref:莫教迟日惹风尘
桐花能乳鸟 花叶不相逢<eos><eos><eos> |Ref:竹节竞祠神
钟嗄声飘驿 山声气满层<eos><eos><eos> |Ref:山顽气喷湖
凤池分直夜 龙阁入朝朝<eos><eos><eos> |Ref:牛渚泛舟年
笑回青眼语 愁作玉壶时<eos><eos><eos> |Ref:醉并白头眠
求此妄中精 不知不能得<eos><eos><eos> |Ref:嗟哉子华子
正殿倚霞壁 高楼清翠微<eos><eos><eos> |Ref:千楼标石丛
唯师草圣艺偏高 不得天台不得归<eos> |Ref:一掬山泉心便足
一树春风万万枝 一枝飞叶白头斑<eos> |Ref:嫩于金色软于丝
一杯有馀味 一曲无可怜<eos><eos><eos> |Ref:再览增光鲜
药草空阶静 松窗一径开<eos><eos><eos> |Ref:梧桐返照寒
不见公与相 不知心不知<eos><eos><eos> |Ref:起身自犁鉏
日出空江分远浪 风流水上入清风<eos> |Ref:鸟归高木认孤城
今朝官满重归去 不觉春风满水花<eos> |Ref:还挈来时旧酒瓢
山童荐珍果 山桂入金盘<eos><eos><eos> |Ref:野老开芳樽
阶前蓂候月 窗外晚风风<eos><eos><eos> |Ref:楼上雪惊春
春与人相乖 此有人事有<eos><eos><eos> |Ref:柳青头转白
烦君驻归棹 不觉不相思<eos><eos><eos> |Ref:与慰不欺心
引之于山 不如一枝<eos><eos><eos><eos> |Ref:兽不能走
心息已如灰 何人不可知<eos><eos><eos> |Ref:迹牵且为赘
嘶马悲寒碛 行人入楚城<eos><eos><eos> |Ref:朝阳照霜堡
洛阳旧有衡茆在 不觉春风满洞庭<eos> |Ref:亦拟抽身伴地仙
草虫促促机下啼 一年一片无所为<eos> |Ref:两日催成一匹半
露盘秋更出 风起夜凄凄<eos><eos><eos> |Ref:玉漏昼还清
万古一骸骨 一生风梦难<eos><eos><eos> |Ref:邻家递歌哭
前日洪州牧 中言汉国雄<eos><eos><eos> |Ref:念此常嗟讶
相府旧知己 不知何处期<eos><eos><eos> |Ref:教门新启关
虽生八九子 不得无如何<eos><eos><eos> |Ref:谁辨其雌雄
陈室何曾扫 陶公不可知<eos><eos><eos> |Ref:陶琴不要弦
今日阳春一妙曲 一声不见春风起<eos> |Ref:凤凰楼上与君弹
谁谓霄汉近 不知天地生<eos><eos><eos> |Ref:翻嗟心事暌
池平分洛水 山静入秦城<eos><eos><eos> |Ref:林缺见嵩丘
中宵废耳目 一夜无风雨<eos><eos><eos> |Ref:形静神不役
总辔出丛薄 临风随退闲<eos><eos><eos> |Ref:歇鞍登峻隅
别殿和云锁翠微 一声清断一花花<eos> |Ref:太真遗像梦依依
过憩裴逸人 不知无所见<eos><eos><eos> |Ref:岩居陵丹梯
终忆旧游桃叶舍 不知何处是长安<eos> |Ref:一株斜映竹篱门
新树低如帐 寒云不见楼<eos><eos><eos> |Ref:小台平似掌
乡心迢递宦情微 一夜春风一夜风<eos> |Ref:吏散寻幽竟落晖
修容尽饰将何益 不得知君得世间<eos> |Ref:极虑呈材欲导情
良游虽可娱 不觉无人心<eos><eos><eos> |Ref:殷念在之子
旧乡曾种得 今日不相亲<eos><eos><eos> |Ref:经乱属谁家
双兔坡东千室吏 一家三十一年年<eos> |Ref:三鸦水上一归人
何言初命卑 不得无所见<eos><eos><eos> |Ref:且脱风尘吏
丘门多白首 不得不相亲<eos><eos><eos> |Ref:蜀郡满青襟
白首看黄叶 青山入白云<eos><eos><eos> |Ref:徂颜复几何
