除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
来时不见侏儒死 身在天门第一千<eos> |Ref:空笑齐人失措年
怅望西溪水 风流满石泉<eos><eos><eos> |Ref:潺湲奈尔何
汉朝旧学君公隐 天地承恩圣日闻<eos> |Ref:鲁国今从弟子科
千金岂不赠 不知心不亲<eos><eos><eos> |Ref:五马空踯躅
数尺寒丝一竿竹 一为为此一回流<eos> |Ref:岂知浮世有猜嫌
寻远迹已穷 不得此夜听<eos><eos><eos> |Ref:遗荣事多昧
门带果林招邑吏 鹤闻罗袖夜僧书<eos> |Ref:井分蔬圃属邻家
莫背阑干便相笑 不知何处是长安<eos> |Ref:与君俱受主人恩
至于贞元末 不知无所为<eos><eos><eos> |Ref:风流恣绮靡
风微汉宫漏 不见此心心<eos><eos><eos> |Ref:月迥秦城砧
惊鸾迸鹭尽归林 飞电出楼聊问我<eos> |Ref:弱羽低垂分独沈
内人未识江淹笔 白鹤诗来月下弹<eos> |Ref:竟问当时不早求
无复秦楼上 风尘满阁前<eos><eos><eos> |Ref:吹箫下凤凰
观涛秋正好 不见一风流<eos><eos><eos> |Ref:莫不上姑苏
大君毕能事 不得不相逢<eos><eos><eos> |Ref:端扆乐成功
文彩承殊渥 清风动一轮<eos><eos><eos> |Ref:流传必绝伦
寒云去后留残月 白叶归来到暮烟<eos> |Ref:春雪来时问太虚
岂学屈大夫 不得不得有<eos><eos><eos> |Ref:忧惭对渔叟
古城非畴昔 今年今在今<eos><eos><eos> |Ref:今人自来往
天气妍和水色鲜 风吹漠漠起愁声<eos> |Ref:闲吟独步小桥边
春排北极迎仙驭 露入林前巢鹤行<eos> |Ref:日捧南山入寿杯
俱是岭南巡管内 不知何处是闲身<eos> |Ref:莫欺荒僻断知闻
沉哀日已深 不得无所思<eos><eos><eos> |Ref:衔诉将何求
江水流或卷 金阁方朝荐<eos><eos><eos> |Ref:此心难具论
云雨分何处 春风日又长<eos><eos><eos> |Ref:山川共异方
展禽任三黜 天书礼一壶<eos><eos><eos> |Ref:灵均长独醒
惆怅人间万事违 一杯长在一杯悬<eos> |Ref:两人同去一人归
复作归田去 何人到此门<eos><eos><eos> |Ref:犹残获稻功
戍鼓和潮暗 风光入月明<eos><eos><eos> |Ref:船灯照岛幽
皇帝受玉册 万里奉星回<eos><eos><eos> |Ref:群臣罗天庭
玩宜苏让点 金殿太盘支<eos><eos><eos> |Ref:餐称蜜匀抄
云程去速因风起 雨后犹应笑泪流<eos> |Ref:酒债还迟待药成
一声肠一断 不得不相逢<eos><eos><eos> |Ref:能有几多肠
西风虚见逼 一点不能裁<eos><eos><eos> |Ref:未拟问京师
献赋才何拙 何人得自知<eos><eos><eos> |Ref:经时不耻归
回谢争名客 何人得是非<eos><eos><eos> |Ref:甘从君所嗤
六枝仙桂最先春 一日长无一醉时<eos> |Ref:萧洒高辞九陌尘
宣父犹能畏后生 大兵功业在天涯<eos> |Ref:丈夫未可轻年少
惟有摩尼珠 金青生白石<eos><eos><eos> |Ref:可照浊水源
絺衣挂萝薜 石壁长秋苔<eos><eos><eos> |Ref:凉月白纷纷
雨馀古井生秋草 花发残山欲晚风<eos> |Ref:叶尽疏林见夕阳
彩骑双双引宝车 金鞭不唱金州宿<eos> |Ref:羌笛两两奏胡笳
十犹八九负薪归 一曲台明一解倾<eos> |Ref:卖薪得钱应供给
仲宣楼上望重湖 一片金山到眼开<eos> |Ref:君到潇湘得健无
长风金鼓动 风吹玉箫鸣<eos><eos><eos> |Ref:白露铁衣湿
斗门亭上柳如丝 一曲无情不得情<eos> |Ref:洛水桥边月如练
百万时可赢 白发心难测<eos><eos><eos> |Ref:十千良易借
侍臣双宋玉 不得一人归<eos><eos><eos> |Ref:战策两穰苴
渔舟即拟去 不见不可归<eos><eos><eos> |Ref:不待晚年身
即应来日去 不是别时时<eos><eos><eos> |Ref:九陌踏槐花
杨柳堤边梅雨熟 杜头春草杜陵春<eos> |Ref:鹧鸪声里麦田空
寻真游胜境 不得不相亲<eos><eos><eos> |Ref:巡礼到阳平
徒闻斩蛟剑 何必天台通<eos><eos><eos> |Ref:无复爨犀船
边人逢圣代 不得到吾庐<eos><eos><eos> |Ref:不见偃戈时
孤舟一夜宿流水 不见一枝飞不还<eos> |Ref:眼看山头月落溪
椒觞再献 礼备孔文<eos><eos><eos><eos> |Ref:宝历万年
白石何凿凿 万里隔岩隈<eos><eos><eos> |Ref:清流亦潺潺
佳气晓葱葱 山屏幽景洁<eos><eos><eos> |Ref:乾行入震宫
尔牛时寝讹 坐枕夜空虚<eos><eos><eos> |Ref:我仆或歌咢
我本偶然来 不知心与我<eos><eos><eos> |Ref:景物如相待
死是等闲生也得 不妨长落似家时<eos> |Ref:拟将何事奈吾何
芙蓉散尽西归去 不得相逢不见看<eos> |Ref:唯有山阴九万笺
禹凿山川地 何人不得春<eos><eos><eos> |Ref:因通四水流
十年楚水枫林下 一别离心云海游<eos> |Ref:今夜初闻长乐钟
独此三休上 何人一钓还<eos><eos><eos> |Ref:还伤千岁心
八蜡已登 万国无期<eos><eos><eos><eos> |Ref:三农息务
今兹讨鲸鲵 猛惚虎天边<eos><eos><eos> |Ref:旌旆何缤纷
水流宁有意 不是此人知<eos><eos><eos> |Ref:云泛本无心
八人云散俱游宦 五锦旌行不见归<eos> |Ref:七度花开尽别离
幽花暮落骚人浦 杨柳阴光罗幕中<eos> |Ref:芳草春深帝子祠
已惊玄发换 不得白髭须<eos><eos><eos> |Ref:空度绿荑柔
今日重看满衫泪 不知何处到京城<eos> |Ref:可怜名字已前生
遍入原上村 不见山地水<eos><eos><eos> |Ref:村空犬仍猛
不遇销忧日 清吟夜梦风<eos><eos><eos> |Ref:埃尘谁复寻
四贤虽得仁 不知不可知<eos><eos><eos> |Ref:此怨何匆匆
耕凿方随日 天文不见春<eos><eos><eos> |Ref:恩威比望云
十年惟悟吟诗句 一步名重万里诗<eos> |Ref:待得中原欲铸兵
峰峦一一俱相似 不见沧波一钓鱼<eos> |Ref:九处堪疑九断肠
霜果林中变 风吹水上流<eos><eos><eos> |Ref:秋花水上残
枫叶红遮店 寒花绿滴衣<eos><eos><eos> |Ref:芒花白满坡
夜江清未晓 春草夜多新<eos><eos><eos> |Ref:徒惜月光沉
妇姑相唤浴蚕去 子规啼管声声远<eos> |Ref:闲看中庭栀子花
自尔归仙后 山中不得时<eos><eos><eos> |Ref:经秋又过春
水心观远俗 不得为同言<eos><eos><eos> |Ref:霜气入秋山
未刈蚩尤旗 猛虎具矛怒<eos><eos><eos> |Ref:方同轩后年
明月谁为主 何人不见仙<eos><eos><eos> |Ref:江山暗换人
心知只有韦公在 不见高标不得归<eos> |Ref:更对真踪话旧游
驽蹄顾挫秣 猛虎骇沙涸<eos><eos><eos> |Ref:逸翮遗稻粱
上天回哀眷 江风动故人<eos><eos><eos> |Ref:朱夏云郁陶
晦迹一何晚 不得不相识<eos><eos><eos> |Ref:天年夭当时
人心悬反覆 万里势如扬<eos><eos><eos> |Ref:天道暂虚盈
开却一枝开却尽 不知三日有春程<eos> |Ref:且随幽蝶更徘徊
犹恐佳趣尽 不见白云生<eos><eos><eos> |Ref:欲行且沉吟
惊人旅鬓斩新白 为客长嘶见故桑<eos> |Ref:无事海门依旧青
灌园曾取适 不知心与适<eos><eos><eos> |Ref:游寺可终焉
晓看呈使范 天阙出勋王<eos><eos><eos> |Ref:知欲敕星轺
逸足思奔骥 何由问虎狼<eos><eos><eos> |Ref:随群且退鳞
断沙雁起金精出 江上月摇秋阁情<eos> |Ref:孤岭猿愁木客归
大庾敛寒光 风景动寒露<eos><eos><eos> |Ref:南枝独早芳
应到严君开卦处 一声声似白云秋<eos> |Ref:将余一为问生涯
今朝笑语同 不得不相识<eos><eos><eos> |Ref:几日百忧中
独酌复独咏 不知心所亲<eos><eos><eos> |Ref:不觉月平西
海棠花底三年客 江上花来又别诗<eos> |Ref:不见海棠花盛开
常被松声迷细韵 闲僧渔宿独何言<eos> |Ref:忽流花片落高岑
南宫使者有光辉 不见秦皇一曲长<eos> |Ref:欲拜诸陵瑞雪飞
且当事耕稼 不言忧陆孙<eos><eos><eos> |Ref:岂得便徒尔
昨者初识君 不知天外时<eos><eos><eos> |Ref:相看俱是客
伊余头已白 不得不相逢<eos><eos><eos> |Ref:不去更何之
已见心远 万里无疆<eos><eos><eos><eos> |Ref:何关地偏
遍参尊宿游方久 江上车回雁骑秋<eos> |Ref:名岳奇峰问此公
控压浔阳景 不见人间人<eos><eos><eos> |Ref:崔嵬古及今
我心劳我身 不知心不得<eos><eos><eos> |Ref:远道谁与论
闻诗闻礼 礼备粢申<eos><eos><eos><eos> |Ref:斐兮璨璨
招提凭高冈 不见行路难<eos><eos><eos> |Ref:疏散连草莽
日月之光不到此 水中寒水一生涯<eos> |Ref:非暗非明烟塞塞
誓将历劫愿 不得穷钓璜<eos><eos><eos> |Ref:无以外物牵
应知子建怜罗袜 不得王侯作作人<eos> |Ref:顾步裴回拾翠钗
更深人悄悄 山处僧朦胧<eos><eos><eos> |Ref:晨会雨濛濛
飞云阁上春应至 落叶花枝日欲回<eos> |Ref:明月楼中夜未央
阴房鬼火青 山水啄鱼腥<eos><eos><eos> |Ref:坏道哀湍泻
若许死前恩少报 不须惆怅此空风<eos> |Ref:终期言下命潜通
我虽非富人 不得无我身<eos><eos><eos> |Ref:亦不苦寂寞
屈平沉湘不足慕 行子相逢相见过<eos> |Ref:徐衍入海诚为愚
威生奉白简 不得黄金羁<eos><eos><eos> |Ref:道胜外华簪
痒闷头风切 何人不可攀<eos><eos><eos> |Ref:爬搔臂力烦
曾闻劫火到蓬壶 不得无由是几何<eos> |Ref:缩尽鳌头海亦枯
胡雁哀鸣夜夜飞 胡儿妾泪垂江阙<eos> |Ref:胡儿眼泪双双落
古观秋木秀 风雨秋钟积<eos><eos><eos> |Ref:冷然属鲜飙
应有鬼神看下笔 不知人迹自生烟<eos> |Ref:岂无风雨助成形
鹤飞将羽节 不敢问君卿<eos><eos><eos> |Ref:遥向赤城分
相别灞水湄 山上云云光<eos><eos><eos> |Ref:夹水柳依依
素汾千载傍吾家 一曲风声不不闻<eos> |Ref:常忆衡门对浣纱
阴壑生虚籁 清清似旧枝<eos><eos><eos> |Ref:月林散清影
广场收骥尾 高阁避龙樯<eos><eos><eos> |Ref:清瀚怯龙鳞
扁舟泊云岛 归去入山烟<eos><eos><eos> |Ref:倚棹念乡国
宛马嘶寒枥 寒风起去云<eos><eos><eos> |Ref:吴钩在锦弢
一方难独占 山鸟自相寻<eos><eos><eos> |Ref:天下恐争论
鸟雀依茅茨 清泉荷桂房<eos><eos><eos> |Ref:藩篱带松菊
三秋伤望眼 不是怨离人<eos><eos><eos> |Ref:终日哭途穷
会取安西将报国 不能歌罢上阳楼<eos> |Ref:凌烟阁上大书名
暂辍洪炉观剑戟 相随无事待香家<eos> |Ref:还将大笔注春秋
软非因醉都无力 不见山中第一峰<eos> |Ref:凝不成歌亦自愁
雨多残暑歇 风景满衣生<eos><eos><eos> |Ref:蝉急暮风清
项籍骨轻迷精魂 大之结郁成朱心<eos> |Ref:沛公仰面争乾坤
元知数日别 不见一声归<eos><eos><eos> |Ref:要使两情伤
日窥万峰首 一旦一蓬瀛<eos><eos><eos> |Ref:月见双泉心
宿云低迥盖 香棹向晴空<eos><eos><eos> |Ref:残月上虚轮
阁静萦吟思 风飘向我心<eos><eos><eos> |Ref:途长拂旅愁
相思绕我心 不知白头老<eos><eos><eos> |Ref:日夕千万重
黍稷斯馨 天地万重<eos><eos><eos><eos> |Ref:祖德惟明
上在蓬莱宫 高驾凤凰堂<eos><eos><eos> |Ref:莫若居华清
三清辽廓抛尘梦 一步浮云入汉图<eos> |Ref:八景云烟事早朝
此际最宜何处看 一株开袖一杯觞<eos> |Ref:朝阳初上碧梧枝
唯应采灵药 不得一相逢<eos><eos><eos> |Ref:更不别营心
衣冠陷锋镝 地边射<unk>仑<eos><eos><eos> |Ref:戎虏盈朝市
只应城影外 月照月明中<eos><eos><eos> |Ref:万里共如霜
叠雪走商岭 云中无人知<eos><eos><eos> |Ref:飞波航洞庭
伫尔颂中和 不得心理多<eos><eos><eos> |Ref:吾将令卿士
盘空蹑翠到山巅 粉壁庭沈静重和<eos> |Ref:竹殿云楼势逼天
应念无成独流转 春心不得不能忘<eos> |Ref:懒磨铜片鬓毛焦
知君别业长洲外 一日归心为我来<eos> |Ref:欲行秋田循畎浍
地即尚书省 不得一相过<eos><eos><eos> |Ref:人惟鸳鹭行
高轩俯清流 不得不可攀<eos><eos><eos> |Ref:一犬隔花吠
旌旆过湘潭 秋风满窗影<eos><eos><eos> |Ref:幽奇得遍探
独有不才者 不得为君子<eos><eos><eos> |Ref:山中弄泉石
除听好语耳常聋 不见明人心似知<eos> |Ref:不见诗人眼底空
皎镜方塘菡萏秋 不知清渭不通尘<eos> |Ref:此来重见采莲舟
客亭鞍马绝 江月下关城<eos><eos><eos> |Ref:旅榇网虫悬
当须报恩已 何人知此情<eos><eos><eos> |Ref:终尔谢尘缁
花院日扶疏 不得不可论<eos><eos><eos> |Ref:江云自卷舒
莫叹连年屈 天心有所求<eos><eos><eos> |Ref:君须遇至公
腊酒复腊雪 一望不可忘<eos><eos><eos> |Ref:故人今越乡
数叶大如墙 不得有长城<eos><eos><eos> |Ref:作我门之屏
日正南冈下饷归 江山飞处处无奇<eos> |Ref:可怜朝雉扰惊飞
自多穷岫雨 风吹古田春<eos><eos><eos> |Ref:行潦相豗蹙
入谷逢雨花 不知见天死<eos><eos><eos> |Ref:香绿引幽步
柳下官资颜子居 不知何处是吾王<eos> |Ref:闲情入骨若为除
耿耿相看不寐 秋风吹雨满城<eos><eos> |Ref:遥闻晓柝山城
主人若也勤挑拨 手却迸鳞千金刀<eos> |Ref:敢向尊前不尽心
困学违从众 心文愧未成<eos><eos><eos> |Ref:明公各勉旃
上客莫畏斜光晚 一一相逢一醉眠<eos> |Ref:自有西园明月轮
止陪鸳鹭居清秩 诗静渔郎当一游<eos> |Ref:滥应星辰浼上玄
直城如斗柄 不得心不知<eos><eos><eos> |Ref:官树似星榆
共道官犹小 人心道亦多<eos><eos><eos> |Ref:怜君孝养亲
雪来松更绿 山中月正青<eos><eos><eos> |Ref:霜降月弥辉
南游李邕死 天涯为妇贫<eos><eos><eos> |Ref:北望宋珪殂
置驿推东道 天文出上皇<eos><eos><eos> |Ref:安禅合北宗
南方六七月 不见五湖哭<eos><eos><eos> |Ref:出入异中原
故事曾尊隗 何时更别离<eos><eos><eos> |Ref:前修有荐雄
真风存绵绵 不知归雁外<eos><eos><eos> |Ref:常与达者期
花前离心苦 何人见月光<eos><eos><eos> |Ref:愁至无日夜
齐朝庆裔祖敖曹 晚月吹旌御苑秋<eos> |Ref:麟角无双凤九毛
仙人错下山 白云落中沙<eos><eos><eos> |Ref:拍手坛边笑
镜湖春水绿 山色夜寒春<eos><eos><eos> |Ref:越客忆归否
常闻秋夕多无寐 不觉长年恨不还<eos> |Ref:月在高台独凭栏
锦帆天子狂魂魄 金鞍走马相送归<eos> |Ref:应过扬州看月明
膏雨带荥水 一度归南陌<eos><eos><eos> |Ref:归人耕圃田
身随玉帐心应惬 心逐青山不可寻<eos> |Ref:官佐龙符势又全
迢迢五原关 风雨满城树<eos><eos><eos> |Ref:朔雪乱边花
物苦不知足 不知心不知<eos><eos><eos> |Ref:得陇又望蜀
城南百战多苦辛 不见愁来泪如落<eos> |Ref:路傍死卧黄沙人
但示酬恩路 何人不得来<eos><eos><eos> |Ref:浮生任转蓬
论心幸遇同归友 人事相逢不可留<eos> |Ref:揣分惭无辅佐功
老夫悲暮年 不知心不歇<eos><eos><eos> |Ref:壮士泪如水
残虹挂陕北 龙雁飞南山<eos><eos><eos> |Ref:急雨过关西
强梁御史人觑步 君子池边思落雪<eos> |Ref:安得夜开沽酒户
五更三老侍白日 一人一醉三年主<eos> |Ref:八十一女居深宫
物候催行客 春风入酒家<eos><eos><eos> |Ref:归途淑气新
上谷何曾解有情 不知不见长安得<eos> |Ref:有情人自惜君行
丘坟与城阙 不见山山椒<eos><eos><eos> |Ref:草树共尘埃
无疆传庆祚 天地表兵平<eos><eos><eos> |Ref:有截荷亭育
照水然犀角 春云动玉轮<eos><eos><eos> |Ref:游山费虎皮
哲人归大夜 一夜一秋声<eos><eos><eos> |Ref:千古传珪璋
嘉木移远植 春思思相亲<eos><eos><eos> |Ref:为我当行轩
鸳鹭叨云阁 何人得见春<eos><eos><eos> |Ref:麒麟滞玉除
非色非空非不空 一枝一叶不成天<eos> |Ref:空中真色不玲珑
曷月还朝天 不知天地寒<eos><eos><eos> |Ref:及时开智囊
高帆背楚落 江水连潇湘<eos><eos><eos> |Ref:寒日逆淮曛
台边生野草 山水落寒泉<eos><eos><eos> |Ref:来去罥罗縠
迢递太行路 不见何人期<eos><eos><eos> |Ref:自古称险恶
奔澌嚼篙杖 酒味漱幽鳞<eos><eos><eos> |Ref:夹岸雪龙吼
秋深为尔持圆扇 不见青山不见花<eos> |Ref:莫忘鲁连飞一箭
关山绕玉塞 归去望相依<eos><eos><eos> |Ref:烽火映金微
更深何处人吹笛 一叶秋风夜捣霜<eos> |Ref:疑是孤吟寒水中
自领蓬莱都水监 不教金斗得经年<eos> |Ref:只忧沧海变成尘
三吴烟雾且如此 十二江湖千里生<eos> |Ref:百越琛赆来何时
差肩承诏旨 不得识僧行<eos><eos><eos> |Ref:连署进封章
春风南内百花时 一片霜光万里春<eos> |Ref:道唱梁州急遍吹
心期一壶酒 不得一相思<eos><eos><eos> |Ref:静话别离情
哀同庾开府 不得一封归<eos><eos><eos> |Ref:瘦极沈尚书
发生同化育 不是问幽钟<eos><eos><eos> |Ref:播物体陶钧
应缘近似红儿貌 不是今朝有作名<eos> |Ref:始得深宫奉五官
清吟倚大树 白发入青山<eos><eos><eos> |Ref:瑶草何馨香
刘项取天下 不知归此人<eos><eos><eos> |Ref:先生游白云
自小僻于诗 不得不可论<eos><eos><eos> |Ref:篇篇恨不奇
不独使君头似雪 一杯新得不成红<eos> |Ref:华亭鹤死白莲枯
英掾柳家郎 不得相见君<eos><eos><eos> |Ref:离亭酒瓮香
往来不相问 何处是归心<eos><eos><eos> |Ref:寂寂山家春
近放辽天鹤 何如何处人<eos><eos><eos> |Ref:曾为南岳人
逐日移潮信 归帆入雁秋<eos><eos><eos> |Ref:随风变棹讴
竟未成麦饘 风阴不变栗<eos><eos><eos> |Ref:安能得粱肉
伤哉绝粮议 不敢三和臣<eos><eos><eos> |Ref:千载误云云
客散高楼上 风尘满地空<eos><eos><eos> |Ref:帆飞细雨中
仙歌临枍诣 风事驻娉婷<eos><eos><eos> |Ref:玄豫历长杨
弱质偃弥旷 天深阴已迟<eos><eos><eos> |Ref:清风来亦频
幽枝好折为谈柄 落日看书乞雪钱<eos> |Ref:入手方知有岁寒
既来今又去 不是此生涯<eos><eos><eos> |Ref:暂笑还成戚
长庆老郎唯我在 一时旅客别离多<eos> |Ref:客曹故事望君传
何必沧浪水 何人不得来<eos><eos><eos> |Ref:庶兹浣尘襟
今君抱何恨 一杯空一言<eos><eos><eos> |Ref:寂寞向时人
人间臣妾不合照 玉佩玉弦如夜起<eos> |Ref:背有九五飞天龙
暂到下邳受兵略 将惊射马似狗时<eos> |Ref:来投漂母作主人
连袂度危桥 高阁入青门<eos><eos><eos> |Ref:萦回出林杪
世间荏苒萦此身 东南长路相追归<eos> |Ref:长望碧山到无因
盖密胜丹桂 何处问黄金<eos><eos><eos> |Ref:层危类远峰
桃李无言难自诉 天地虽直无何人<eos> |Ref:黄莺解语凭君说
终身胶漆心应在 山水仙陵水不通<eos> |Ref:半路云泥迹不同
遥城候骑来仍少 不觉将教一一开<eos> |Ref:傍岭哀猿发无数
如何属秋气 清风生暮寒<eos><eos><eos> |Ref:唯见落双桐
彩毫挥露色 一叶落花声<eos><eos><eos> |Ref:银烛动花阴
五陵春色泛花枝 画烛新花冷满垂<eos> |Ref:心醉花前远别离
六十四卦七十钻 一笑清香红玉掬<eos> |Ref:毕竟不能知所以
路有从役倦 不觉此心违<eos><eos><eos> |Ref:卧死黄沙场
砖排古砌春苔干 万井千山半翠疏<eos> |Ref:殷勤寄我清明前
荆棘苍苍汉水湄 不知空折白云飞<eos> |Ref:将坛烟草覆馀基
洛中归计定 不觉老人侵<eos><eos><eos> |Ref:一半为尚书
问之何因尔 何人得一年<eos><eos><eos> |Ref:学与不学欤
今朝小滩上 一片一秋书<eos><eos><eos> |Ref:能不思悠然
兴随年已往 不得此生时<eos><eos><eos> |Ref:愁与水长流
发少何劳白 山川不见君<eos><eos><eos> |Ref:颜衰肯更红
燕台下榻玉为人 金缕连笺管相续<eos> |Ref:月桂曾输次第春
人初生 不可得<eos><eos><eos><eos><eos> |Ref:日初出
行路难 不可得<eos><eos><eos><eos><eos> |Ref:归去来
佳城关白日 不见问黄昏<eos><eos><eos> |Ref:哀挽向青门
道畅昆虫乐 何人不可寻<eos><eos><eos> |Ref:恩深朽蠹荣
袅枝翻翠羽 不似舞花香<eos><eos><eos> |Ref:溅水跃红鳞
病添庄舄吟声苦 乐罢论诗酒酒开<eos> |Ref:贫欠韩康药债多
石桥春涧已归迟 万里行人见水边<eos> |Ref:梦入仙山山不知
从今射雕骑 金络满尘埃<eos><eos><eos> |Ref:不敢过云堆
初日映城时 春风满江水<eos><eos><eos> |Ref:相思忽相见
无语与花别 不是白云深<eos><eos><eos> |Ref:细看枝上红
何时得向溪头赏 不是今朝日日行<eos> |Ref:旋摘菱花旋泛舟
宿客未眠过夜半 归帆归海旧山时<eos> |Ref:独闻山雨到来时
十二岚峰挂夕晖 九山山上鸟相随<eos> |Ref:庙门深闭雾烟微
齐公生人表 山无一道情<eos><eos><eos> |Ref:迥天闻鹤唳
知尔业成还出谷 不知人是旧人心<eos> |Ref:今朝莫怆断行飞
得罪因怀璧 何由为为言<eos><eos><eos> |Ref:防身辄控弦
应知此来客 不得不相逢<eos><eos><eos> |Ref:身世两无情
纵然怀豹隐 不觉见蓬蒿<eos><eos><eos> |Ref:空愧蹑鹓行
须知入骨难销处 不是闲眠一落花<eos> |Ref:莫比人间取次愁
何事贶君偏得所 天间歌管不知儿<eos> |Ref:只缘同是越航郎
为语前村叟 山水东西城<eos><eos><eos> |Ref:他时寄采樵
秦王转无道 一夜不可见<eos><eos><eos> |Ref:谏者鼎镬亲
如今到死得闲处 不是长年何计时<eos> |Ref:还有诗赋歌康哉
宜须数数谋欢会 不是长安道在天<eos> |Ref:好作开成第二春
老去齿衰嫌橘醋 何由不受大鸡干<eos> |Ref:病来肺渴觉茶香
奇编早晚教传授 诗语清光自在兹<eos> |Ref:免以神仙问葛洪
蘧瑗亦屡化 不知一生死<eos><eos><eos> |Ref:左丘犹有耻
青惜峰峦过 风风雨滴多<eos><eos><eos> |Ref:黄知橘柚来
四明山绝奇 山水风景清<eos><eos><eos> |Ref:自古说登陆
清风多仰慕 此去旧诗和<eos><eos><eos> |Ref:吾亦尔知音
托根非其所 不知心与闲<eos><eos><eos> |Ref:不如遭弃捐
为报广寒攀桂客 自持古觉见残诗<eos> |Ref:莫辞相访共衔杯
重言虚有位 白发已无枝<eos><eos><eos> |Ref:孤立竟无成
草靸无尘心地闲 不知天上有真名<eos> |Ref:静随猿鸟过寒暄
醉教莺送酒 春散凤衔秋<eos><eos><eos> |Ref:闲遣鹤看船
白马金络头 白马作游宾<eos><eos><eos> |Ref:东风故城曲
夹岸凝清素 清风动远烟<eos><eos><eos> |Ref:交枝漾浅沦
莫遣艳歌催客醉 不知来醉旧金人<eos> |Ref:不堪回首翠蛾愁
自有两儿郎 相逢无子孙<eos><eos><eos> |Ref:挥洒亦莫比
将军临气候 风雨动深山<eos><eos><eos> |Ref:猛士塞风飙
青山不同赏 不得不相逢<eos><eos><eos> |Ref:来往自蹉跎
孙晨槁席 不为我行<eos><eos><eos><eos> |Ref:原宪桑枢
五代武弁侍明光 六章杯酒宴宾春<eos> |Ref:辍佐中权拜外郎
策蹇相寻犯雪泥 世心何处是真仙<eos> |Ref:厨烟未动日平西
故山弟子空回首 不见谁人无得来<eos> |Ref:葱岭唯应见宋云
未高烝远气 清洁助馀香<eos><eos><eos> |Ref:半上霁孤形
翠柏不凋龙骨瘦 青山深士雀罗疏<eos> |Ref:石泉犹在镜光寒
龙骖回旧宅 春色入新松<eos><eos><eos> |Ref:凤德咏馀芬
岩悬青壁断 云入白云深<eos><eos><eos> |Ref:地险碧流通
蹉跎岁月心仍切 白为携书路中旧<eos> |Ref:迢递江山梦未通
筑人非筑城 天子不知疲<eos><eos><eos> |Ref:围秦岂围我
劳歌会稽守 不得为周通<eos><eos><eos> |Ref:遥祝永康哉
雪外兼松凭 无时出钓翁<eos><eos><eos> |Ref:泉边待月欹
偶来冠盖里 不见玉阶前<eos><eos><eos> |Ref:愧是旧三公
欢娱宴洽赐群后 神夕振降三化兵<eos> |Ref:家家复除户牛酒
适遭云罗解 清闻月下琴<eos><eos><eos> |Ref:翻谪夜郎悲
吾观主人意 不知无所思<eos><eos><eos> |Ref:不久召京师
旅魂自是才相累 不觉无情不得闲<eos> |Ref:闲骨何妨冢更高
何事遣君还似我 不知谁肯问长安<eos> |Ref:髭须早白亦无儿
清洛饮冰添苦节 文章归梦动分秦<eos> |Ref:碧嵩看雪助高情
时与文字古 不得此生多<eos><eos><eos> |Ref:迹将山水幽
片时留静者 不得见王台<eos><eos><eos> |Ref:一夜响鸣蛩
山云昨夜雨 不见无人知<eos><eos><eos> |Ref:溪水晓来深
璧带金釭皆翡翠 几年携手向流波<eos> |Ref:一朝零落变成空
感君一顾恩 不得一生死<eos><eos><eos> |Ref:同来洛阳陌
连天浪静长鲸息 落水浮云杳不见<eos> |Ref:映日帆多宝舶来
鲁侯天不遇 不知世间亲<eos><eos><eos> |Ref:臧氏尔何能
八月胡蝶来 山断一人去<eos><eos><eos> |Ref:双飞西园草
尔随黄閤老 不得白云隔<eos><eos><eos> |Ref:吾次紫微郎
知君断肠共君语 不见落花悲苦辛<eos> |Ref:君指南山松柏树
南北东西似客身 一枝无限海垣烟<eos> |Ref:远峰高鸟自为邻
酒因朝太子 不得到京华<eos><eos><eos> |Ref:诗为乐贤王
也知出处花相似 不得心心事更生<eos> |Ref:可到贫家影便稀
过片晴云淡 山阴夕火深<eos><eos><eos> |Ref:消残暮雪虚
玄花著两眼 不得为笙歌<eos><eos><eos> |Ref:视物隔褷褵
偏伤兹日远 不知天子秋<eos><eos><eos> |Ref:独向聚星州
叶展影翻当砌月 帘垂金缕映风花<eos> |Ref:花开香散入帘风
丹哥时引舞 不是送离离<eos><eos><eos> |Ref:来去跨云鸾
锄艾恐伤兰 不如笼子床<eos><eos><eos> |Ref:溉兰恐滋艾
激射分流阔 山河古井荒<eos><eos><eos> |Ref:湾环此地多
兴罢归来还对酌 君行不向南登殿<eos> |Ref:茅檐挂著紫荷巾
寂寞谁相问 何人到此心<eos><eos><eos> |Ref:只应君自知
愁肠断处春何限 一片千峰万树流<eos> |Ref:病眼开时月正圆
未遣蒲车问幽隐 水行樯上近荆门<eos> |Ref:共君应老抱桐孙
争似山中隐 无因不得吟<eos><eos><eos> |Ref:和云枕碧湍
清景难逢宜爱惜 落花对酒更相惜<eos> |Ref:白头相劝强欢娱
轩辕黄帝今何在 白云西戎起青袍<eos> |Ref:回首巴山芦叶青
小梅零落雪欺残 行别春光似别山<eos> |Ref:浩荡穷愁岂易宽
二仪初创象 金石更呈霁<eos><eos><eos> |Ref:三才乃分位
凤词凌汉阁 高树入荆州<eos><eos><eos> |Ref:龟辩罩周园
日轩漾波影 山中含绿花<eos><eos><eos> |Ref:月砌镂松阴
内讼诚知止 心心不可忘<eos><eos><eos> |Ref:外言犹匪忱
