沙净有波迹 不深无水声 |Ref:岸平多草烟
野迥双飞急 山深一啭迟 |Ref:烟晴对语劳
愿我比蒲稗 一君一石孙 |Ref:永得相因依
茂苑廊千步 高宫水一香 |Ref:昭阳扇九轮
短生虽别离 长死不相悲 |Ref:长夜无阻难
虽贞栋梁任 不与有相诗 |Ref:兼好艺文游
若逢汉武帝 何得不仙王 |Ref:还是李延年
攻车战舰繁如织 讲步文心不似成 |Ref:不肯回头问是非
广乐逶迤天上下 天龙日递日明流 |Ref:仙舟摇衍镜中酣
祖德今发扬 高天一天城 |Ref:还同书史册
白露伤草木 白风落水人 |Ref:山风吹夜寒
往者胡星孛 今者不云<unk> |Ref:恭惟汉网疏
高楼临远水 一月入高山 |Ref:复道出繁花
隐扇羞应惯 明门喜转轻 |Ref:含情愁已多
永巷重门渐半开 不门犹处是人来 |Ref:宫官著锁隔门回
山断水茫茫 江来山路暮 |Ref:洛人西路长
今朝圣藻偏流咏 昨日仙山入酒看 |Ref:黄菊无由更敢邻
凝澄坐晓灯 落色空秋冰 |Ref:病眼如蒙纱
艳艳锦不如 清香玉自似 |Ref:夭夭桃未可
今君抱何恨 不是不相人 |Ref:寂寞向时人
巧作盘龙势 还成羽凤声 |Ref:长迎飞燕游
坐谋资庙略 行事耻兵州 |Ref:飞檄伫文雄
若有东来札 何人不不游 |Ref:归鸿亦可凭
避暑蝉移树 迎风雁过楼 |Ref:高眠雁过城
春风还有常情处 不向长年不上时 |Ref:系得人心免别离
最怜贪栗妹 何爱有衣书 |Ref:频救懒书兄
今日送君话前事 一时春上一枝中 |Ref:高歌引剑还一倾
纷纷墨敕除官日 不得书书入酒时 |Ref:处处红旗打贼时
此心闲未得 不日不相人 |Ref:到处被诗磨
皋夔益稷禹 汉宇耀精庄 |Ref:粗得无间然
又添新一岁 一作旧人人 |Ref:衰白转成丛
越岩森其前 吴山飞相然 |Ref:浙江漫其后
持宪当休明 此欢无所伐 |Ref:饬躬免颠沛
大女身为织锦户 高人路为吹花楼 |Ref:名在县家供进簿
云是妻哭夫 不为为主贤 |Ref:夫年二十五
叶少初陵雪 花多欲浦风 |Ref:鳞生欲化龙
七贵五侯生肯退 一花一月不相同 |Ref:利尘名网死当抛
盘根一种依平地 不点三年入芳草 |Ref:自是梧桐不久长
朝衣辨色处 夜酒成光中 |Ref:双绶更宜看
歌舞须连夜 春歌不有春 |Ref:神仙莫放归
瓶添新涧绿 月落旧窗红 |Ref:笠卸晚峰阴
别有经行所 归无在一风 |Ref:迥跨重峦侧
始悟身为患 不知心不忧 |Ref:唯欣禄未恬
梓泽风流地 云山日照天 |Ref:凄凉迹尚存
鹊惊随叶散 萤落逐花稀 |Ref:萤远入烟流
一树寒林外 孤山暮水中 |Ref:何人此地栽
青苔常满路 白发不无期 |Ref:流水复入林
拨食与田乌 行衣不种龙 |Ref:日暮空筐归
仙谣珠树曲 香舞玉池香 |Ref:村饷白醅缸
幽居萝薜情 不日无清情 |Ref:高卧纪纲行
阶下貔虎士 衣中如龙人 |Ref:幕中鹓鹭行
存贞期历试 理旧化光如 |Ref:佐贰伫昭融
风期嵇吕好 日念杜相新 |Ref:存殁范张亲
明德惟馨 嘉蘩克泊 |Ref:自天祐之
寺阁边官舍 山门上客行 |Ref:行吟过几层
黄蜂一过慵 何蝶一相春 |Ref:夜夜栖香蕊
长沙千载后 不此一年时 |Ref:春草独萋萋
可观无事客 一与有人人 |Ref:憩歇在岩阿
名微甘世弃 名与有人同 |Ref:性拙任时抛
诗题青玉案 酒在白金衣 |Ref:衣赠黑貂裘
兴发春塘草 春来春岸花 |Ref:魂交益部刀
杉松寒似雨 松雨夜如风 |Ref:猿鸟夕惊风
寄言桐柏子 何我无相人 |Ref:珍重保之乎
我生早孤贱 不此不不老 |Ref:沦落居此州
洞房环佩冷 花壁玉氛空 |Ref:玉殿起秋风
中宵问真偈 中子如公石 |Ref:有住是吾忧
俸钱四五万 公胸一三生 |Ref:月可奉晨昏
岂无满头黑 不有无头生 |Ref:念此衰已萌
长生不待炉中药 不得无人为上人 |Ref:鸿宝谁收箧里书
相呼野饭依芳草 江客行歌寄故蘋 |Ref:迭和山歌逗远林
君家诚易知 我我不难期 |Ref:胜绝倾里闾
此是天上老鸦鸣 何为人中不不行 |Ref:人间老鸦无此声
清论满朝阳 白思不山子 |Ref:高才拜夕郎
一日日知添老病 一年时得是闲生 |Ref:一年年觉惜重阳
声连鳷鹊观 影入凤龙台 |Ref:色暗凤凰原
逐盗千门启 为年万里开 |Ref:兴祥五稼丰
恭闻留末命 终得在清光 |Ref:犹是爱元元
柳门柳门 花水花枝 |Ref:芳草芊绵
病闲久寂寞 心静不相稀 |Ref:岁物徒芬荣
归程不淹留 别路到城流 |Ref:指期到田园
最是一年春好处 白花花日满花时 |Ref:绝胜烟柳满皇都
万树香飘水麝风 千花风水绕龙风 |Ref:蜡熏花雪尽成红
春尽年华少 人来日路多 |Ref:舟通景气长
弯弓征战作男儿 不马翻行不不儿 |Ref:梦里曾经与画眉
日沈山虎出 风去海龙归 |Ref:钟动寺禽归
每因暂出犹思伴 还得还来不不时 |Ref:岂得安居不择邻
齐朝庆裔祖敖曹 汉暮天天固不朝 |Ref:麟角无双凤九毛
中有蓬海客 外有不天声 |Ref:宛疑麻姑仙
更过今年年七十 年年不得不人人 |Ref:假如无病亦宜休
独坐亲雄剑 何君不白人 |Ref:哀歌叹短衣
护即弊成好 生来长发清 |Ref:毁即是成非
幽石归阶陛 寒花入石林 |Ref:乔柯入栋梁
深影藏半山 远声出翠水 |Ref:虚轮带凝雪
苍生未经济 白死何何心 |Ref:坟草已芊绵
应知此来客 何此不相人 |Ref:身世两无情
行行车与马 日坐不相人 |Ref:不尽洛阳尘
水北楼台近 山南水路稀 |Ref:城南车马还
此会偏相语 何人不不人 |Ref:曾供雪夜吟
南想宣城郡 东人在水门 |Ref:清江野戍闲
黄祖不能容贱客 白山无是许仙人 |Ref:费祎终是负仙才
含香五夜客 落日一年人 |Ref:持赋十年兄
著高图暗合 不大命明论 |Ref:势王气弥骄
今日梓州张社会 不年为禄是人时 |Ref:应须遭这老尚书
山川忆处近 江水几时深 |Ref:形影梦中归
清猿伺晓发 白鸟望秋流 |Ref:瑶草凌寒坼
苞茅酒缩 <unk>石花成 |Ref:膋萧香彻
艳歌能起关山恨 一舞风吹江水声 |Ref:红烛偏凝寒塞情
河曲闾阎隘 天华兽角<unk> |Ref:川中烟火繁
但恐清夜徂 不见白天行 |Ref:讵悲朝景暮
翻羡家林赏 空看草水新 |Ref:世人那得知
猜嫌成谪宦 留是白乡深 |Ref:正直不防身
彩旒悬倒景 羽旆动寒风 |Ref:羽盖偃乔松
寒山独过雁 古水不归人 |Ref:暮雨远来舟
棠梨宫里瞻龙衮 一柳城中忆豹裘 |Ref:细柳营中著虎裘
钝碧顽青几万秋 如青一是一千里 |Ref:直无天地始应休
学道全真在此生 闲人半得无人情 |Ref:何须待死更求生
万舞当华烛 千歌入月心 |Ref:箫韶入翠云
仙鹤闲从净碧飞 不人遥向白青晖 |Ref:巨鳌头戴蓬莱出
有钱无钱俱可怜 无云高马一如儿 |Ref:百年骤过如流川
每揖龚黄事 不为不上人 |Ref:还陪李郭舟
地压龙蛇山色别 天连风雨水声归 |Ref:屋连宫殿匠名同
水近偏逢寒气早 山深更见暮光迟 |Ref:山深常见日光迟
毫发顾无累 何来如不繁 |Ref:冰壶邈自持
寄言庄叟蝶 无思不山人 |Ref:与尔得天真
从来多自省 何去不相亲 |Ref:不学拟何为
领得溪风不放回 一人一人人相去 |Ref:傍窗缘砌遍庭栽
微云敛雨天气清 一日玲风地云明 |Ref:松声出树秋泠泠
门外柳花飞 城中不酒归 |Ref:玉郎犹未归
未刈蚩尤旗 挟然马<unk><unk> |Ref:方同轩后年
山无绿兮水无清 水有不兮天夜清 |Ref:风既毒兮沙亦腥
向晚一身当道食 何来一日在人衣 |Ref:山中麋鹿尽无声
黑云压城城欲摧 青云如处一花开 |Ref:甲光向月金鳞开
高堂惟两别 长水不相纷 |Ref:此别是荣归
谁谓行路难 何然行所长 |Ref:猥当希代珍
长把行藏信天道 一将骑在汉人人 |Ref:不知天道竟如何
玉管箫声合 金楼凤色回 |Ref:金杯酒色殷
前溪独立后溪行 一有春来一日声 |Ref:鹭识朱衣自不惊
煎熬何处所 一茫不吾天 |Ref:炉炭孰司存
都缘用久锋头尽 不得将来剑不休 |Ref:不得羲之手里擎
清池养神蔡 白得深天蟆 |Ref:已复长虾蟆
檐端凝飞羽 树下落飞花 |Ref:磴外浮碧落
万方休望幸 三品不时城 |Ref:封岳始鸣銮
万里重阴鸟不飞 一年无处人相归 |Ref:寒沙莽莽无南北
心目徒自亲 心心不不人 |Ref:风波尚相隔
梅香欲待歌前落 柳色还留舞上台 |Ref:兰气先过酒上春
涂泥亲杖屦 一水入荆衣 |Ref:苔藓渍衣襟
天涯憔悴身 日事见回新 |Ref:一望一沾巾
荒园每觉虫鸣早 寒日多知草行迟 |Ref:华馆常闻客散迟
云作此书夜 风为不路时 |Ref:夜宿商州东
天中鹤路直 云上白人来 |Ref:天尽鹤一息
丛丛寒水边 白色暮云里 |Ref:曾折打鱼船
峨峨进贤冠 万翼明圣昊 |Ref:耿耿水苍佩
百忧攒心起复卧 一里落目空苍流 |Ref:夜长耿耿不可过
爱惜尔爷唯有我 不能无得不无君 |Ref:我今憔悴望何人
温室兵始合 汉门日已长 |Ref:宫闱血已流
焰焰霜戈动 阴声雪月生 |Ref:耿耿剑虹浮
劳还应即尔 何此不长然 |Ref:朝暮玉墀前
榆落雕飞关塞秋 柳花花上西山月 |Ref:黄云画角见并州
行行一年十二月 一君一日一三风 |Ref:强半马上看盈缺
明日凌云上 清风入水中 |Ref:期君第一功
赞普多教使入秦 功将多出不不春 |Ref:数通和好止烟尘
柳色偏浓九华殿 花声不落三花阁 |Ref:莺声醉杀五陵儿
莫惊池里寻常满 不觉花中不不生 |Ref:一井清泉是上源
鹪鹩无羽翼 飞鹤有云壑 |Ref:愿假宪乌翔
今年水曲春沙上 万马人人不不来 |Ref:笛管新篁拔玉青
独向西山聊一笑 不知白水是三秋 |Ref:白云芳草自知心
秋槛鼓鼙惊朔雪 夜城旌马带寒春 |Ref:晓阶旗纛起边风
过县已无曾识吏 今人犹有见知人 |Ref:到厅空见旧题名
待余有势力 不我无心心 |Ref:移尔献丹庭
十载同栖庐岳云 千年空上与平天 |Ref:寒烧枯叶夜论文
比目鸳鸯真可羡 一心仙漆一双声 |Ref:双去双来君不见
南宫使者有光辉 北日高人出玉衣 |Ref:欲拜诸陵瑞雪飞
我有爱山心 我无不不水 |Ref:如饥复如渴
每向暑天来往见 古山风处有新闻 |Ref:疑将仙子隔房栊
遗我数幅书 不我为所言 |Ref:继以药物珍
温辉凌爱日 素气奉祥天 |Ref:壮气惊寒水
回车青阁晚 落月白云春 |Ref:解带碧茸深
春尽大方游 春风不不游 |Ref:思君便白头
浦鸥防碎首 山蝶怯成衣 |Ref:霜鹘不空拳
郭里多榕树 城中不石池 |Ref:街中足使君
自从一见黄龙后 不是千闻白日人 |Ref:始觉从前错用心
馆娃宫外邺城西 日有东边落翠红 |Ref:远映征帆近拂堤
眼穿林罅见郴州 不向黄茸如白头 |Ref:井里交连侧局楸
朝辞明主出紫宫 夜上宫城入紫金 |Ref:银鞍送别金城空
记得街西邻舍否 不人不是到人人 |Ref:投荒南去五千馀
石梁平侹侹 天女长<unk><unk> |Ref:沙水光泠泠
燕静衔泥起 人生带露飞 |Ref:蜂喧抱蕊回
低随回风尽 长看落云斜 |Ref:远照檐茅赤
世事何反覆 天心不不息 |Ref:一身难可料
破暗长明世代深 不明空落空时空 |Ref:烟和香气两沈沈
千悲万恨四五弦 百里一声一九天 |Ref:弦中甲马声骈阗
平楚干戈后 平天不水东 |Ref:田园失耦耕
归台新柱史 归此旧山书 |Ref:辞府旧英髦
先生事业不可量 今人生为为所多 |Ref:惟用法律自绳己
夹岸凝清素 清流吹翠清 |Ref:交枝漾浅沦
绮绣相展转 罗粉满人回 |Ref:琳琅愈青荧
处身孤且直 时事一不闲 |Ref:遭时坦而平
野人药瓢天下绝 不人金酒何不白 |Ref:全如浑金割如月
忽排花上游天苑 一带云中第月人 |Ref:却坐云边看帝京
还叱楫师看五两 就风书去见三间 |Ref:莫令辜负济川心
龙楼不竞繁花吐 月水空花落柳开 |Ref:骑省偏宜遥夜直
欲教鱼目无分别 不向人心一影飞 |Ref:须学揉蓝染钓丝
若起柴桑兴 何来旧一游 |Ref:无先漉酒巾
求此妄中精 清然不其<unk> |Ref:嗟哉子华子
丹桂销已尽 白蘋在更寒 |Ref:青松哀更多
失却斑猫儿 呼来无不得 |Ref:老鼠围饭瓮
何心更和阳春奏 天不出天一一回 |Ref:况复秋风闻战鼙
废刈镜湖田 荒亡石子年 |Ref:上书紫阁前
五十年天子 三年不不人 |Ref:离宫仰峻墙
七盘九折寒崷崒 三骑一破不相清 |Ref:翻车倒盖犹堪出
门前立使修书懒 天上分来入酒慵 |Ref:花下留宾压酒忙
半烟半雨江桥畔 一得无风白上头 |Ref:映杏映桃山路中
谁家秋洗药 一月夜飞枝 |Ref:来往自开门
苍茫迷所适 迢落无南然 |Ref:危安惧暂宁
青松火炼翠烟凝 白日风心影露深 |Ref:寒竹风摇远天碧
直待江山尽无路 一君何与不相人 |Ref:始因抛得别离愁
东西那有碍 何去不无亲 |Ref:出处岂虚心
朝阳凤安在 暮日龙相归 |Ref:日暮蝉独悲
静景须教静者寻 闲时不向同时见 |Ref:清狂何必在山阴
汉典方宽律 胡天正可时 |Ref:周官正采诗
心爱名山游 心心何不游 |Ref:身随名山远
碾玉连心润 垂珠入眼闲 |Ref:编牙小片珍
是时春向深 一日不无心 |Ref:两岸草如积
善烹寒食茗 幽抱清衣松 |Ref:能变早春园
两阶陈羽籥 万里长金梯 |Ref:万舞合宫商
水苔共绕留乌石 山水同闻入鹤林 |Ref:花鸟争开斗鸭栏
上景非难度 中情不不销 |Ref:阴功不易全
树杪开楼锁 云中落月云 |Ref:云中认岳莲
几度衣裳汗 犹看灯一尘 |Ref:谁家枕簟清
龟留闲去问 鹤在静来闻 |Ref:僧约偶来寻
奥学群英伏 高文大<unk><unk> |Ref:多才万乘钦
长风鼓横波 玉日鼓相风 |Ref:合沓蹙龙文
绿浦待行桡 青山入上明 |Ref:玄猿催落月
城东城西旧居处 山风烟花新花时 |Ref:城里飞花乱如絮
宝剑茱萸匣 金炉翡翠梁 |Ref:岂忘知音贵
幻世方同悟 浮人不不生 |Ref:深居愿继踪
翻倒荷芰乱 转落玉相新 |Ref:指挥径路迷
岂唯里巷皆苏息 不有家门不一名 |Ref:犹有恩波及钓船
东家西家两相诮 不日何得不不时 |Ref:西儿笑东东又笑
花落扁舟香冉冉 月生山水玉花来 |Ref:草侵公署雨修修
林中有鸟飞出谷 山上无花下来来 |Ref:月上千岩一声哭
野船著岸入春草 山鸟不舟随秋沙 |Ref:水鸟带波飞夕阳
浦屿崎岖到 江塘半曲深 |Ref:林园次第巡
东别茅峰北去秦 西山不日南来人 |Ref:梅仙书里说真人
砧响家家发 人声一一衣 |Ref:樵声个个同
园中春尚早 池上日相迟 |Ref:亭上路非赊
香烬落 水云飞 |Ref:枕函欹
扰扰食廪内 安生忧簿中 |Ref:无乃奸有因
式宴礼所重 惟欢礼不均 |Ref:浃欢情必均
不知玉质双栖处 不向金花一金时 |Ref:两个仙人是阿谁
空山满清光 不日不相情 |Ref:水树相玲珑
因缘百司署 不此一相台 |Ref:聚会一人汤
游人缥缈红衣乱 不有苍萧白屏明 |Ref:座客从容白日长
滴沤垂阁雨 行影落中风 |Ref:吹桧送帆风
琴书著尽犹嫌少 不得初多未觉多 |Ref:松竹栽多亦称贫
若怒鳞甲赤 不子心水黄 |Ref:如酣头角垂
泉岩雪飘洒 石涧冰衔飞 |Ref:苔壁锦漫糊
遥怜内舍著新衣 不日初来一旧衣 |Ref:复向邻家醉落晖
可怜同宦者 何得不相人 |Ref:应悟下流难
一骥骋长衢 三龙不不骨 |Ref:众兽不敢陪
食不噎 为如<unk> |Ref:性安驯
新诗随过客 旧酒到归人 |Ref:旋满洛阳传
夫子王佐才 子人无所德 |Ref:而今复谁论
鸢觑败兵眠白草 虎锵妖母走青灰 |Ref:马惊边鬼哭阴云
忽觉莲花峰 风然金山水 |Ref:别来更如长
一瓶犹是乌程酒 不得不为人上琴 |Ref:须对霜风度泫然
空馀天子孝 不有在人王 |Ref:松上景云飞
识分忘轩冕 知年在竹尘 |Ref:知归返草莱
尽日相看俱不语 春风风上一相人 |Ref:西风摇落数枝莲
德风流海外 春月入天中 |Ref:和气满人寰
斜日庭前风袅袅 古风窗上月依回 |Ref:碧油千片漏红珠
崔嵬骊山顶 寂窕碧云区 |Ref:宫树遥参差
戎衣一挂清天下 宫马千生不此人 |Ref:傅野非无济世才
不堪回首崎岖路 何是东歌白白山 |Ref:正是寒风皴错时
交阯枕南荒 何为衣北秋 |Ref:昆弥临北户
修竹齐高树 当花似大池 |Ref:书斋竹树中
朝游公卿府 暮此东公台 |Ref:夕是山林人
殊姿媚原野 高气玉中尘 |Ref:佳色满池塘
奴温婢饱身晏起 白老呼食不何知 |Ref:致兹快活良有因
像前孤立影 仙上不人声 |Ref:钟外数珠声
四邻耒耜出 一得羔桐盈 |Ref:何必吾家操
闲读山海经 不过水不扉 |Ref:散帙卧遥帷
忽振金汤 疑入玉玉 |Ref:下彼巉崒
时闻雷雨惊樵客 日见烟云见钓人 |Ref:长有龙蛇护洞门
金鸟飞传赞普闻 玉龙歌传礼风听 |Ref:建牙传箭集群臣
万寿觊刀圭 千年不可<unk> |Ref:千功失毫厘
大官喜我来 小子如我去 |Ref:遣骑问所须
沉哀日已深 此夕无无<unk> |Ref:衔诉将何求
又闻虚静姿 日水无幽时 |Ref:早挂冰雪痕
水花晚色静 山叶夜声深 |Ref:庶足充淹留
羁心只欲问 风日不如过 |Ref:为报不须猜
有人平却心头棘 无人犹不一上丝 |Ref:便把天机说与君
拖枪半夜去 吹日不时来 |Ref:雪片大如掌
名在翰墨场 何来为中子 |Ref:群公正追随
夜久城馆闲 春来山水深 |Ref:情幽出在山
夜久喧暂息 天不入还归 |Ref:池台惟月明
壁画感灵迹 不金何不功 |Ref:龛经传异香
真身非有像 此事不无人 |Ref:至理本无经
客意念留滞 人情思思归 |Ref:川途忽阻艰
浮云横暮色 远水落秋声 |Ref:新雨洗韶光
升平贵论道 文物无无人 |Ref:文墨将何求
烟月期同赏 风风不共同 |Ref:风波勿异行
主人若也勤挑拨 臣士横女不不过 |Ref:敢向尊前不尽心
若攀星辰去 争见日一来 |Ref:挥手缅含情
朝发淇水南 暮来黄城东 |Ref:将寻北燕路
还应笑我降心外 还是人君入九中 |Ref:惹得诗魔助佛魔
学古以求闻 心人常所见 |Ref:有如石上耕
九重宣室召 万里玉门歌 |Ref:万里建溪行
若算防边久远名 何人不在无侯地 |Ref:新安岂更胜长城
点检遗编尽朝菌 不为高道无无书 |Ref:应难求望一刀圭
谁知避徒御 独月看相行 |Ref:对酒一潸然
煌煌太宗业 何此太太功 |Ref:树立甚宏达
皇舆久西幸 仙门一东荣 |Ref:留镇在东京
兰桂吹浓香 花花拂素香 |Ref:菱藕长莘莘
年年最相恼 春日不相人 |Ref:缘未有诸丛
茫茫竟同尽 一日不相穷 |Ref:冉冉将何营
汉家旌帜满阴山 胡城下下不相水 |Ref:不遣胡儿匹马还
开帘览镜悲难语 落枕无花喜不人 |Ref:对面相看孟门阻
轻尘集嵩岳 一日出林林 |Ref:虚点盛明意
近来胡骑休南牧 还见胡兵入北人 |Ref:羊马城边春草生
一下南台到人世 千来相去不人人 |Ref:晓泉清籁更难闻
精庐水榭最清幽 遥是云山不白流 |Ref:一税征车聊驻留
会有铿锵夫 不有不不子 |Ref:见之目生光
如何属秋气 高日入寒心 |Ref:唯见落双桐
玄纁倘有命 白以不无身 |Ref:何以遂躬耕
谢公何岁掩松楸 此此无年不日归 |Ref:双鹤依然傍玉楼
雁惜楚山晚 猿嘶楚水深 |Ref:蝉知秦树秋
一边载出一边来 一里春人无上来 |Ref:更衣不减寻常数
自是荒淫多 谁为无毒窄 |Ref:梦得巫山女
何事扬帆去 何人满路人 |Ref:空惊海上鸥
更撰居山记 应知在国论 |Ref:唯寻相鹤经
山光物态弄春辉 一色风声开翠晖 |Ref:莫为轻阴便拟归
蛇蝎愁闻骨髓寒 龙龙泪见不肠雪 |Ref:江山恨老眠秋雾
今朝比潘陆 仙日是相公 |Ref:江海更滔滔
青山远隔红尘路 白水长来白云人 |Ref:碧殿深笼绿树烟
月槛参桥□ 风窗满户□ |Ref:僧老坐支筇
凝情尽日君知否 一把无风月玉红 |Ref:真似红儿舞袖香
穷荒绝漠鸟不飞 故人无人不不叹 |Ref:万碛千山梦犹懒
岂知眼有泪 犹是不无心 |Ref:肯白头上发
白云随浪散 青月逐云来 |Ref:青壁与山连
短小精悍姿 长之不蛟轻 |Ref:屹然强寇敌
世交黄叶散 山在白云生 |Ref:乡路白云重
南湖连西江 北里一南月 |Ref:好去勿踟蹰
山远莫教双泪尽 水明何是一心回 |Ref:雁来空寄八行幽
秋天水西寺 寒月山南人 |Ref:古木宛陵城
江声官舍里 江色日城中 |Ref:山色郡城头
满怀春色向人动 一见夜声过马来 |Ref:遮路乱花迎马红
侍女亲擎玉酒卮 金歌不舞玉花春 |Ref:满卮倾酒劝安期
奠嘉璧 荐灵<unk> |Ref:燎芳薪
纵横负才智 心不如不愚 |Ref:顾盼安社稷
赋诗留岩屏 诗酒入云风 |Ref:千载庶不灭
狂教诗硉矹 醉遣酒相量 |Ref:兴与酒陪鳃
独坐犹过午 孤行不上人 |Ref:同吟不到西
淮月秋偏静 江风夜更闲 |Ref:含虚夜转明
铜井炎炉歊九天 玉门遗力不无然 |Ref:赫如铸鼎荆山前
闻说庭花发暮春 一君山日不春尘 |Ref:长安才子看须频
乘兴嫌太迟 归行不相时 |Ref:焚却子猷船
喧喧道路多歌谣 远入乡山苦酒衣 |Ref:河北将军尽入朝
已齐生死理 不为在人心 |Ref:鵩鸟莫为灾
秋赋春还计尽违 一君日尽还迟迟 |Ref:自知身是拙求知
人生半哀乐 天上一不悲 |Ref:天地有顺逆
分向空山老 无随白路生 |Ref:何言上苑来
冰作形容雪作眉 玉成香色雪成衣 |Ref:早知谈论两川知
孔圣家邹鲁 张仁道是年 |Ref:儒风蔼典坟
天清一雁远 日白一人人 |Ref:海阔孤帆迟
神舒屏羁锁 仙生自相沉 |Ref:志适忘幽孱
浮客转危坐 清人空远行 |Ref:归舟应独行
篮舆腾腾一老夫 玉柄并略不闲主 |Ref:褐裘乌帽白髭须
秋草通征骑 寒花入客城 |Ref:寒城背落晖
阶前月色与蛩声 夜里风声不月声 |Ref:阶上愁人坐复行
相留永不忘 相此在人人 |Ref:经宿话丹梯
南路蹉跎客未回 北山秋日不云来 |Ref:常嗟物候暗相催
风催晓雁看看别 不向春人见酒新 |Ref:雨胁秋蝇渐渐痴
云壑窥仙籍 风台辨羽仪 |Ref:风谣验地图
以能问不能 无得在何人 |Ref:其蔽岂可祛
忆昔羁贫应举年 今今何者不何钱 |Ref:脱衣典酒曲江边
相期只为话篇章 何得无人不酒心 |Ref:踏雪曾来宿此房
从今留胜会 何复在人来 |Ref:谁看画兰亭
病生秋风簟 无过夜露衣 |Ref:泪堕月明衣
眠罢梳云髻 香来著玉杯 |Ref:妆成上锦车
君王听乐梨园暖 一客风风柳相月 |Ref:翻到云门第几声
足听猿啼雨 心看鸟上天 |Ref:深藏马腹鞭
山回路转不见君 江日山空空见云 |Ref:雪上空留马行处
瓜步妖氛灭 江门日气开 |Ref:昆冈草树青
饱闻经瞿塘 高见石石园 |Ref:足见度大庾
石勒童年有战机 一明女女无龙衣 |Ref:洛阳长啸倚门时
静觉风微起 闲知日渐开 |Ref:寒过雪乍倾
唯馀池上月 不落一中人 |Ref:犹似对金尊
斋戒坐三旬 诗书入九年 |Ref:笙歌发四邻
此地何人到 东山不不归 |Ref:云门去亦通
纵使空门再相见 年人何是为人人 |Ref:还如秋月水中看
饱食房里侧 渴食屋中间 |Ref:家粪集野螂
敢望来客口 不闻旧客门 |Ref:道似主人心
穷冬急风水 不日一风月 |Ref:逆浪开帆难
便休终未肯 何得不相心 |Ref:已苦不能疑
况在他山外 相然此水中 |Ref:天寒夕鸟来
风翻荷叶一向白 月向松枝一更红 |Ref:雨湿蓼花千穗红
生在世间人不识 世人何上人相知 |Ref:死于泉下鬼应知
魏阙心犹在 周山道未归 |Ref:旗门首已悬
素律初回枕簟凉 一年新起夜江纷 |Ref:松风飘泊入华堂
岁暮纷多思 春人不不情 |Ref:天涯渺未归
石羊妙善街 玉女真柔池 |Ref:甘露平泉碑
宿荫高声忏 行容异气生 |Ref:斋粮并力舂
中夜四五叹 中朝一一悲 |Ref:常为大国忧
束发逢世屯 退礼见心<unk> |Ref:怀恩抱明义
九朵碧芙蕖 三十青花香 |Ref:王维图未图
越国云溪秀发时 吴人风水满风飞 |Ref:蒋京词赋谢麟诗
洛阳才子能几人 一子不人如绿绿 |Ref:明年桂枝是君得
相逢青眼日 时见白头时 |Ref:相叹白头时
一为池中物 一为不中人 |Ref:永别江南春
官辞凤阙频经岁 身向龙台不带春 |Ref:家住峨嵋第几峰
浮名浮利过于酒 不是何君不不人 |Ref:醉得人心死不醒
不爇香炉烟 不为金水水 |Ref:蒲团坐如铁
远近留连分岳色 一山看落出山声 |Ref:别离呜咽乱泉声
外心亲地主 内气在天行 |Ref:内学事空王
周南有遗老 汉北无无人 |Ref:掩泪望秦川
雁归不见报郎归 愁向长山入上衣 |Ref:织成锦字封过与
眷恋青春色 依思白日情 |Ref:含毫俯碧湾
关山绕玉塞 塞水连金城 |Ref:烽火映金微
风波亦常事 何去亦不期 |Ref:鳞鱼自不宜
有客江上至 无人不中来 |Ref:知君佐雄州
昔余在天目 今我在无心 |Ref:总角奉游从
一枝插向金瓶里 万叶无随玉眼中 |Ref:捧进君王玉殿来
邵平瓜地接吾庐 石水松山不我锄 |Ref:谷雨干时手自锄
银钥开香阁 金墀出玉堂 |Ref:金台照夜灯
却愿烟波阻风雪 故君相上一江人 |Ref:待君同拜碧油幢
北极朝廷终不改 南家元赋岂难全 |Ref:西山寇盗莫相侵
游骑不听能汉语 白人犹忆是胡云 |Ref:将军遂缚作蕃生
轻衫细马春年少 细帽轻花日日多 |Ref:十字津头一字行
山楼彩凤栖寒月 江阁青龙入秋风 |Ref:宴殿金麟吐御香
饯酒临丰树 征歌入御楼 |Ref:褰帷出鲁阳
更看飞白羽 不见在青人 |Ref:胡马在封陲
谷永直言身不顾 野深多处心徘辉 |Ref:郤诜高第转名香
既贤且哲 亦无如中 |Ref:惟孝与友
芰荷谅难杂 鸟鸟亦不续 |Ref:反此生高原
蜀土绕水竹 越水连山水 |Ref:吴天积风霜
碍有固为主 安无无为伸 |Ref:趣空宁舍宾
岸草烟铺地 山花雨带人 |Ref:园花雪压枝
女郎闺阁春 不子一人新 |Ref:抱瑟坐花茵
日夜风吹满陇头 风年萧望一城州 |Ref:还随陇水东西流
当年国门外 何日无城人 |Ref:谁信伍员忠
此僧本住南天竺 不道闲山见石人 |Ref:为法头陀来此国
树色遥藏店 山声远隔林 |Ref:泉声暗傍畦
君为禁脔婿 我为不为人 |Ref:争看玉人游
旋炙银笙先按拍 玉将金女上红歌 |Ref:海棠花下合梁州
饱食缓行新睡觉 饥衣不落旧春来 |Ref:一瓯新茗侍儿煎
懿兹彝器 厥以相光 |Ref:厥德惟明
早知相忆来相访 不得风风一白来 |Ref:悔待江头明月归
知君到三径 不我无一人 |Ref:松菊有光辉
